word,variant_forms,abreviaturas,translation_value
pani,['pani'],"['na.', 's', 's.']",de hermano a hermana.
pankalla,['paŋgalya'],['adj'],"ágil, veloz, liviano."
panshi,"['paŋši', 'paŋsi']","['amz.', 'na.', 's', 's.']",rmazón de palos pequeños colocados dentro de la olla para cocinar.
pantana,['pandana'],['v'],"errar, equivocar, confundir."
panti,['paŋti'],"['s', 's.']",yerba para teñir.
pantu,['paŋdu'],"['amz.', 's']","animal denominado “cabeza de mate”, similar al tigre."
panwa,"['paŋwa', 'paŋgua']","['amz.', 's', 's.']",trampa de cacería para animales pequeños.
papa,['papa'],['s'],"papa, patata."
paparawa,['paparawa'],"['amz.', 's', 's.', 'v.']",árbol de fru- tos comestibles.
parawaku,['parawaku'],"['amz.', 's']",variedad de mono.
parkuna,"['parkuna', 'parkona']","['gua.', 'na.', 's.', 'ss.', 'v']",regar o esparcir agua.
paruk,['paruk'],['s'],pulmón.
paskana,['paskana'],"['na.', 'v']","brir, despegar."
paspa,['paspa'],"['pa.', 's', 'v.']",spa.
pasu,['pasu'],"['amz.', 's', 's.']",tipo de árbol de frutos comestibles.
pasña,['pasña'],['s'],"adolescente, muchacha, mozuela."
pata,['pata'],['s'],"grada, orilla."
patak,"['phatax', 'phatix']","['adj', 'na.']",cho.
pataku,['pataku'],['s'],mesa; altar.
patara,['patara'],"['na.', 's']","hoja, página."
patarina,['patarina'],"['na.', 'v']","doblar, plegar."
patas,['patas'],"['amz.', 'co.', 's']",blanco.
pati,"['pati', 'badi']","['s', 's.', 'ss.']",bolso.
patpa,['patpa'],"['s', 's.']",pluma.
patpana,['patpana'],"['na.', 's.', 'v']",cudir las aves sus plumas.
patsak,"['patsak', 'patsya', 'batsak']","['co.', 's']",baga- zo.
pawshi,['pawši'],"['amz.', 's']",pava de monte de- nominada “paujil”; ganzo.
pay,['pay'],['pron'],"él, ella."
paya,['paya'],"['adj', 's.']",vieja; abuela.
payaku,['payagu'],"['amz.', 'exp']",expresión para referirse a la hija apreciada.
paychi,"['payči', 'paysi', 'payši']","['amz.', 'na.', 's', 's.']",una va- riedad de pez.
paykuna,['paykuna'],"['pron', 's.']","ellos, ellas."
paza,['paza'],"['adj', 'co.']","áspero, escabroso, tosco."
paña,['paña'],"['amz.', 's']",piraña.
pi,['pi'],['pron'],¿quién?.
pichana,"['fičana', 'pičana', 'phičana']","['co.', 'num.', 'or.', 's', 'v.']","escoba, borrador."
piki,['piki'],"['amz.', 'gua.', 's']",pulga.
pilis,"['pilis', 'pigli']","['amz.', 'co.', 'na.', 's', 's.']",piojo blanco.
pillchi,"['pilyči', 'pilči']","['amz.', 'co.', 's']",recipiente de la cás- cara del coco.
pillpintu,"['pilypiŋtu', 'piŋpilyitu', 'pimpillitu pil- piŋdi']",['s'],mariposa.
pilluna,"['pilyuna', 'pižuna']","['na.', 'v']","enrollar, envol- ver, enredar."
pimpirana,['piŋpirana'],"['amz.', 'na.', 'v']",pestañar.
pimpis,"['pimpis', 'piŋpis']","['amz.', 's', 's.']",leta de pez.
pinchi,['pinči'],"['amz.', 'lo.', 's']",canelo.
pinkala,['piŋgala'],"['amz.', 'ca.', 's']",osca grande que no pica.
pinkay,['piŋgay'],"['lo.', 'pi.', 's', 's.', 'v.']","ergüenza, rubor, recelo."
pinllu,"['piŋlyu', 'pinžu']",['s'],lechero.
pintu,['piŋtu'],"['s', 's.']",tela.
pintuk,"['piŋtuk', 'pintu']","['amz.', 'na.', 's']",caña brava.
pircha,['pirča'],"['amz.', 'bo.', 's', 's.', 'tu.']",cardo.
piripiri,['piripiri'],"['amz.', 'ca.', 's', 's.']",eremonial para la lluvia y como talismán en la caza y pesca.
piruru,['piruru'],"['co.', 'na.', 's', 'sn.']","tortero para hilar, disco."
pishiyana,['pišiyana'],"['na.', 'v']",escasear.
pishku,"['pišku', 'pisku', 'piško']","['chi.', 'na.', 's']","ve, pájaro."
pishña,['pišña'],"['amz.', 's']",nutria.
pitakaya,['pitakaya'],"['amz.', 's']",tipo de fruta.
pitalala,['pitalala'],"['amz.', 's']",culebra “x”.
piti,['piti'],['det'],Mana achka.
pitina,"['fitina', 'pitina', 'phitina']","['na.', 'v']","cortar, romper en pedazos pequeños; deshojar."
pitirina,"['fitirina', 'pitirina', 'phitirina']","['na.', 'v']","expirar, morir."
pitita,['pitita'],['s'],"departamento, alcoba."
pitsik,['pitsik'],['s'],planta silvestre proliferante.
pitun,['pituŋ'],"['amz.', 's', 's.', 'v.']",árbol de frutos comes- tible y medicinal.
piña,"['fiña', 'piña', 'phiña']",['adj'],"bravo, furioso."
piñana,"['fiñana', 'piñana', 'phiñana']","['na.', 'v']","enojar, disgustar, encolerizar alterar."
piñarina,"['fiñarina', 'piñarina', 'phiñarina']","['na.', 'v']","re- sentirse, enojarse, encapricharse."
puchu,['puču'],"['adj', 'co.', 'na.']","sobra, resto."
puchukana,['pučukana'],['v'],"acabar, con- cluir."
puchukay,['pučukay'],"['adv', 'pa.']",último.
puchul,"['pučul', 'fučul']","['s', 's.', 'sc.']",Vainas trilladas luego de sacar los granos.
puchuna,['pučuna'],"['pa.', 'v']",sobrar.
puka,['puka'],"['adj', 's.']",rojo.
pukla,['pugla'],"['amz.', 'lo.', 's']",banillo.
pukllana,"['puglyana', 'pugžana']","['na.', 'v']",jugar.
pukru,"['pukru', 'pugro']","['pa.', 's']",hondonada.
pukshi,['puxši'],"['na.', 's', 's.', 'ss.']",cal.
puku,['phuku'],"['na.', 'pi.', 's', 's.']",lato de madera.
pukuna,"['phukuna', 'pokona']",['v'],madurar.
pukuy,['phukuy'],['s'],soplo de curación.
pukyu,['pukyu'],['s'],"vertiente, pozo, manantial."
pulak,['phulax'],"['s', 's.']",cs.
pulanti,['bulandi'],"['amz.', 'co.', 's']",variedad de be- juco.
pullu,['pulyu'],"['amz.', 'co.', 'pi.', 's', 's.', 'v.', 'za.']",tronco seco.
puma,['puma'],"['amz.', 's']","Tigre, puma."
puna,['puna'],"['s', 's.']","ierra, cordillera; altiplano."
puncha,"['puŋča', 'punža', 'punša', 'punlya']","['s', 's.']",día.
punchantin,"['puŋžandiŋ', 'puŋčandiŋ']","['adv', 'amz.']","diariamente, a diario."
punkara,['puŋgara'],"['amz.', 's']",tipo de fruta.
punkina,"['puŋgina', 'phuŋgina', 'fuŋgina']","['na.', 'v']","hin- charse, inflarse."
punku,"['punku', 'puŋgu']",['s'],"puerta, entrada."
punsa,"['phunza', 'punsa']","['bo.', 'co.', 's']",harco.
puntu,['fuŋdu'],"['adj.', 'amz.', 'na.', 's', 's.', 'sc.', 'sn.']","vasija, pondo."
punzuyana,"['puŋzuyana', 'puntsuyana']","['amz.', 'v']",erizarse.
purina,['purina'],"['amz.', 'na.', 'v']","caminar, andar."
puru,['puru'],"['amz.', 'na.', 's']",tutuma.
purun,"['purun', 'purum']","['adj', 'adj.', 'co.', 'pa.']","silvestre, rústico."
purutu,['purutu'],"['num.', 's']",fréjol.
pusayu,['pusayu'],"['amz.', 's']",tipo de pájaro.
pushak,"['pušax', 'pušak', 'pušag', 'puša']",['s'],"di- rigente, líder, presidente, gobernante."
pushana,['pušana'],"['na.', 'v']","guiar, dirigir, conducir."
