word,variant_forms,abreviaturas,translation_value
mapa,['mapa'],['adj'],s.
mapayana,['mapayana'],['v'],"ensuciarse, mancharse."
marka,['marka'],['s'],provincia.
markakmama,['markakmama'],['s'],madrina de bautizo.
markakyaya,"['markakyaya', 'markaktayta']",['s'],s.
markana,['markana'],['v'],llevar en brazos.
marku,['marku'],['s'],altamisa.
masha,['maša'],['s'],yerno.
mashana,['mašana'],['v'],ss.
mashna,"['mašna', 'mažna', 'masna']",['pron'],¿cuántos?.
mashu,['mašu'],['s'],s.
mati,['mati'],['s'],mate.
mawma,"['mawma', 'magma', 'maxma']",['s'],sncs.
may,['may'],['adv'],s.
maykama,['maykama'],['pron'],¿hasta dónde?.
maykan,"['maykan', 'mayxan']",['pron'],¿cuál?.
mayllana,"['maylyana', 'mayžana']",['v'],lavar.
mayma,['mayma'],['adj'],sn.
maypi,['maypi'],['pron'],en dónde.
mayta,"['mayta', 'mayda']",['pron'],¿por dónde? Maykan kuskata tapuchik shimi.
maytu,['maytu'],['s'],"envoltorio, envuelto."
mayu,['mayu'],['s'],río.
maywa,['maywa'],['adj'],snc.
mayzana,"['mayzana', 'mayzina']",['v'],ss.
michik,"['mičix', 'mičig', 'mičex', 'miči']",['s'],s.
michina,['mičina'],['v'],s.
mikuna,['mikuna'],['v'],"comer, alimentarse."
mikya,['mikya'],['interj'],amz.
millay,"['milyay', 'mižay', 'milyi', 'milyik', 'milyig']",['adj'],"mal genio, mal humorado."
millchina,"['milyina', 'milžina']",['v'],ss.
millma,"['milyma', 'mišma', 'mižma', 'wilyma', 'ilyma']",['s'],"lana, vello, cerda."
millpuna,"['milypuna', 'mižpuna', 'nilypuna', 'ñily-\npuna']",['v'],tragar.
minka,"['minka', 'miŋga']",['s'],trabajo comunal.
minkarina,['miŋgarina'],['v'],snc.
mirana,['mirana'],['v'],multiplicarse.
mirka,"['mirka', 'mirga']",['s'],peca.
misha,['miša'],['adj'],snc.
mishana,['mišana'],['v'],s.
mishki,['miški'],['adj'],"dulce, fragante; sabroso."
mishkichina,['miškičina'],['s'],condimento.
mishkichuspi,['miškičuspi'],['s'],abeja.
mishkishimi,['miški šimi'],['adj'],lisonjero.
mishu,"['mišu', 'misti']",['adj'],mestizo.
mishun,['mišun'],['s'],herramienta para desho- jar.
misi,"['misi', 'miši', 'mišu']",['s'],gato.
mitayu,['mitayu'],['s'],amz.
mitikuna,['mitikuna'],['v'],"huir, fugarse, escon- derse."
mitsa,"['miča', 'mitsa', 'miša']",['s'],verruga.
mitsak,"['mičak', 'mitsak', 'mitsax', 'mitsa', 'misa']",['adj'],"ávaro, -a, mezquino, miserable."
mitsana,"['mitsana', 'misana', 'mičana']",['v'],mez- quinar; defender.
miyuna,['miyuna'],['v'],"envenenar, contaminar."
muchana,['mučana'],['v'],"besar, respetar, ve- nerar."
mukawa,['mukawa'],['s'],amz.
muku,['muku'],['s'],"articulación, nudo."
mukuna,['mukuna'],['v'],"sn, amz."
mullapa,['mulyapa'],['s'],"envoltorio; nudo, en- vuelto; racimo."
mullchi,['mulychi'],['s'],amz.
mulu,"['mulu', 'muluku']",['s'],ss.
munana,['munana'],['v'],"querer, desear, anto- jar, aficionar, tener deseos de algo."
munanayak,"['munanayax', 'munanayag', 'munanayak']",['adv'],"hermoso, bello, lindo."
munanayay,['munanayay'],['adv'],"hermoso, bello, lindo."
munchi,['muŋči'],['s'],ss.
munzira,"['munzira', 'munza']",['s'],bo.
murintu,['murindu'],['s'],amz.
muriti,['muriti'],['s'],amz.
muru,['muru'],['adj'],bicolor: de pintas negras con blancas.
mushuk,"['mušuk', 'mušux', 'mušu', 'musuk']",['adj'],nuevo (objetos y tiempo).
muspana,['muspana'],['v'],tontear.
musyana,"['musyana', 'misyana']",['v'],amz.
mutiyana,['mutiyana'],['v'],amz.
mutki,['mutki'],['s'],olfato.
mutkina,"['mutkina', 'muxtina']",['v'],oler.
mutul,"['mutul', 'mutulu']",['s'],amz.
muyu,['muyu'],['s'],"semilla, pepa, grano."
nanakllakana,['(<*nanakllakana)'],['v'],abun- dar.
nanakyana,"['nanaxyana', 'nanakyana', 'na- nagyana']",['v'],sn.
nanampi,"['nanambi', 'nanaŋbi']",['s'],amz.
nanay,['nanay'],['s'],dolor.
napana,['napana'],['v'],na.
napaykuna,"['napaykuna', 'napana']",['v'],salu- dar.
nina,"['nina', 'ñina']",['v'],decir.
ninan,['ninan'],['adv'],s.
ninanta,"['ninanta', 'ninanda', 'ninandax']",['adv'],im.
nitkana,"['nitkana', 'nixtana', 'niktana', 'nitixana', 'ñiktana', 'mitkana']",['v'],tropezar.
nuna,['nuna'],['s'],"alma, espíritu."
nuspa,['nuspa'],['s'],pa.
nuspana,"['nuspana', 'muspana']",['v'],tener pe- sadillas.
nuya,['nuya'],['s'],variedad de haba.
nuyuna,['nuyuna'],['v'],s.
