word,variant_forms,abreviaturas,translation_value
mapa,['mapa'],['adj'],"s. sucio. Imapash karka- yashka, mana takshashka, mana chuyalla. Mapa umami kanki, utka armanki. 2. s. expresión de desprecio. Pitapash piñay- wan nina shimi. Mishuka, mapa runa nishpa kamiwarka. mapamari [mapamari] s.amz. sanguijuela. Pala rikurik, yana washayuk, yurak wiksayuk, turu kuchakunapi kawsak, yawarta tsunkak palamaku. Mapamari wiwaka anti suyu kuchakunapimi tiyan."
mapayana,['mapayana'],['v'],"ensuciarse, mancharse. Imakunapash turuyariy, kawiriy. Wawaka pukllashpa mapayarka. Sin. Karkayana, llunchina, hawina, wikiyana. mara [mara] adj. niño, niña. Wachashkalla, kawsay kallariy pachapi kak. Kanpa maraka wayrallami kallpan. Sin. wawa."
marka,['marka'],['s'],provincia. Mamallaktata rakishka kitikunayuk llakta. Ecuador llaktaka ñami ishkay chunka chusku markayuk kan.
markakmama,['markakmama'],['s'],"madrina de bautizo. Chikan mama wawata markash- pa shutichichik. Paymi, ñukapa markakmama kan. Sin. Achikmama, achiku."
markakyaya,"['markakyaya', 'markaktayta']",['s'],"s. padrino de bautizo. Chikan runa, wawata markashpa shutichichik. Mashi Intimi ñukapa markakyaya kan. Sin. Achikyaya, achiku."
markana,['markana'],['v'],llevar en brazos. Imatapash maki rikrawan mikllay. Wawata maytushpa markay.
marku,['marku'],['s'],altamisa.Chillpishkashina yana kumir pankayuk ashnak hatunlla hampi yura. Papa ama ismuchunka marku yuratami shi- tanchik.
masha,['maša'],['s'],"yerno. Ushushipa kusa. Kanpa mashaka amawta yuyaytami charin. mashalli [mašalyi] s. amz. variedad de garza. Suni kunkayuk, suni chakiyuk hatun yurak patpayuk pishku. Mashallitaka mana wañuchinachu kanchik."
mashana,['mašana'],['v'],"ss. solear, asolear. Inti rupaypi ukunta rupakyarina. Ñukanchikka tutamanta intipimi mashanchik. mashi [maši, masi] s. s. compañero, amigo. Riksishka kari, warmi runa. Kanpa mashita yanapakmi rini. Sin. riksik."
mashna,"['mašna', 'mažna', 'masna']",['pron'],¿cuántos?. Ima charishkakunata tapuchik shimi. ¿Mashna llamakunatatak charinki?
mashu,['mašu'],['s'],"s. murciélago. Pawashpa purik ukuchashina rikurik, tutakunapi wiwapa yawarta chumkak. Mashuka wakra yawarta, apyu yawartapas- hmi tsumkan. Sin. chimpilaku, tutapishku."
mati,['mati'],['s'],"mate. Imatapash wishinkapak hatun pillchishina. Kay mati hunta aswata upyachiway. mawka [mawka] adj. antiguo, usado, viejo (para objetos). Ima kashpapash payayashka, wakllirishka tukurikukpashmi kan. Mawka llachuwan chakmani. Sin. Paya."
mawma,"['mawma', 'magma', 'maxma']",['s'],"sncs. vasija grande de barro, tinaja. Yapa hatun allpa manka, aswata pukuchik manka. Mawmapi yakuta huntachirkani."
may,['may'],['adv'],"s. muy, mucho; exagera- ción. Imatapash yalli hatunyachishpa nirik shimi. May karuta purimuni. Sin. Yapa, ninan, yalli."
maykama,['maykama'],['pron'],¿hasta dónde?. May kuskakama nishpa tapuchik shimi. ¿Maykama rikunki?.
maykan,"['maykan', 'mayxan']",['pron'],"¿cuál?. Imatak nishpa tapuchik shimi. Kanpak llamaka ¿maykantak kan?. maylla [mayža]adj. sns. sobrio, en sano jui- cio. Tukuy yuyayyuk, mana shinka, mana machashka runa. Raymimanta yayaka mayllami shamushka. mayllakshunku [mayža šuŋku] adj. s. en ayunas. Imatapash manarak mikushka, chushak wiksa. Yawarta	surkuchinkapakka	mayllak shunkumi rini."
mayllana,"['maylyana', 'mayžana']",['v'],lavar. Tukuy mapata chuya yakuwan turuta anchu- china. Kay mankata mayllapay.
mayma,['mayma'],['adj'],"sn. inmenso. Yapa hatun. Napo mayuka mayma yakupimi yaykun. mayman [mayman, maymun, mayma, maymu] interrog. ¿dónde? , ¿adónde?. Ta- puchik shimi. ¿Mayman rikunki?."
maypi,['maypi'],['pron'],en dónde. Llaktapa kuskata tapuchik shimi. Kanka ¿maypitak kanki?
mayta,"['mayta', 'mayda']",['pron'],¿por dónde? Maykan kuskata tapuchik shimi. ¿Mayta purirkanki?.
maytu,['maytu'],['s'],"envoltorio, envuelto. Ima- kunawanpash pillushka kipi. Chaki nanakpi chillca pankawan, maytu- wanpash waktarkani. 2. amz. paquete atado en hojas . Imatapash pankawan pillushka kipi. Maytutaka anti suyupimi yanunkuna. maytuna [maytuna] v. enrollar, envolver. Imatapash ukupi churashpa pilluna. Wawataka allita maytunchik.     Sin. Pilluna.   alli shunkuyuk."
mayu,['mayu'],['s'],río. Tukuy pacha hatun ñanshinata purik yaku . ¿Tukuy mayukunapi wampuwan puriyta ushanchikchu?. Sin. Hatun yaku. mayu (<*mayu) s. vía láctea. Hawa pachapi ñuñushina suni ñan. Mayupika achka kuylluryukmi kan. Sin. kasa anku.
maywa,['maywa'],['adj'],"snc. morado, lila. Puka tullputa ankas tullpuwan chapukpi papa sisashina rikurik tullpu. Yachachikka maywa sisata apamunki nirka. Sin. Sañi."
mayzana,"['mayzana', 'mayzina']",['v'],ss. perder el conocimiento. Uma muyushkashina unkuy. Paytaka irki runa kakpimi mayzarka. Sin. Shinkana.
michik,"['mičix', 'mičig', 'mičex', 'miči']",['s'],"s. pastor, -a. Punchanta wiwakunaman kiwata miku- chishpa purik runa. Michik runaka llamakunata urkuman pus- han."
michina,['mičina'],['v'],"s. pastar, pastorear. Achka wiwakunata pampakunaman pushas- hpa mapa kiwakunata mikuchiy. Wakin wawakunami llamakunata michin. mikllana [miglyana, mixllyana, migžana, miškana] v. s. llevar algo en la falda. Imata- pash churashka punchupi, anakupi apana. Papa muyuta tupunkapak mikllakuni. mikmichu [mixmiču] s. amz. variedad de gavilán. Inti punchapi mik mik mik kaparish- pa purik anka. Mikmichu anka wakakta uyarkani. mikuna [mikuna] s. comida, alimento. Wiksa yarkayta anchuchik. Minkapika achka mikunami tiyan."
mikuna,['mikuna'],['v'],"comer, alimentarse. Yarkay richun mikunata millpuna. Kunanka tantata mikukuni."
mikya,['mikya'],['interj'],amz. expresión de cor- tesía dirijido a las mujeres. Kusayuk warmita ama shutipi kayankapak shimi. Mashi Tamyaka ñami mikya kan.
millay,"['milyay', 'mižay', 'milyi', 'milyik', 'milyig']",['adj'],"mal genio, mal humorado. Piñak runa, mana  Wakin runakunaka millay yuyaytami charin. millana [milyana, milyana. mižana] v. as- quear, repugnar, tener asco; aborrecer. Ima- tapash ashnayta charik runa. Runapura kashkamantaka	mana milla- rkachu. 2. amz. tener náusea. Kuynanayay, wiksa waklliy kakpi mikushkakunata tikrachinayay. Unkuymanta kutin kutin millarka. millayana [milyayana, milyiyana, mižayana] v. enojarse, enfurecerse, malhumorarse. Alli kashpa piñariy. Kan millay kakpimi millayani. Sin. Piñarina."
millchina,"['milyina', 'milžina']",['v'],"ss. expulgar. Pikikunata, piliskunata umamanta, kataman- tapash chawsishpa anchuchiy. Piki kanikukpimi millchikunki."
millma,"['milyma', 'mišma', 'mižma', 'wilyma', 'ilyma']",['s'],"lana, vello, cerda. Runapa, wiwapa karapipash akchashina tiyak. Wawapa rinri mana uyakpika llaminku mill- matami rinri hutkupi satirka."
millpuna,"['milypuna', 'mižpuna', 'nilypuna', 'ñily-\npuna']",['v'],"tragar. Mikunata, upyanata shimi- manta wiksaman kachay. Mishki muyuta wiksa ukuman millpurkani. milluku [milyuku, mižuku, ulluku] s. s. me- lloco. Llawsayuk, papashina allpa ukupi pu- kuk muru. Minkaman rinkapak millukuta timpuchipanki. mimish [mimiš, mismiš] s. amz. encías. Kiru sikipi tiyak aycha. Kirukuna llukshikpika mimishllami sakirin. mincha [minča, minža] adv. pasado ma- ñana, traspasado mañana. Kayapa washa punchami kan. ¿Minchataka shamusha ninkichu?. Sin. Kayantin."
minka,"['minka', 'miŋga']",['s'],"trabajo comunal. Ayllullaktapura tantarishpa llamkana. Tukuykunami minkaman rina kanchik. minkachina [miŋgačina] v. brindar posada, hospedar. Kikinpa wasipi shuk kuchuta pu- ñuchun mañachiy. Kayaka kikinpa wasipi minkachiwanki."
minkarina,['miŋgarina'],['v'],"snc. hospedarse.    Shukpak wasipi puñunkapak chayay. Runapuraka kikinpa wasipi minkarin. minkana [miŋgana] v. pedir ayuda a otro. Shuktak mashikunata yanapachun mañay. Llakta mashiman wasita rikuchun minkar- kani. 2. encargar, encomendar. Imakunatapash shukman kushpa sakiy. Churana kipita Quito llaktaman minkarkani. mintalana [mindalana] v. comercializar. Imatapash katuy, rantiy. Otavalo runakunaka Europa llaktapipash awashkakunata mintalanmi. 2. s. comercio. Imatapash katuy, rantiy. Awashkakunapika alli mintalaymi kan. mirachina [miračina] v. multiplicar, acre- centar. Chayllatak tawka kutin yapachishpa achkayachiy. Kay yupaykunata mirachirka."
mirana,['mirana'],['v'],"multiplicarse. Ima- kunapash ashtawan wachariy. Shuk watapilla kay llaktapika mirarkanchik. 2. s. propagación, aumento. Imapash achka tukuy. Kaypika kuykunamantaka miraykunami riku- rin."
mirka,"['mirka', 'mirga']",['s'],peca. Aycha karapi llukshik yana shuyu. Chay warmika achka mirkayukmi kan. 2. manchas del rostro (paño).Yana sisushina ñawipi llukshik. Kanpa uyapi mirka llukshishka.
misha,['miša'],['adj'],"snc. dos frutos pegados. Ishkay tinkirishka wiñak murukuna, muyu- kuna. Tipikushpa misha sarata tarirkani. 2. amz. podrido. Ismushka muru, kuruyuk muyu. Misha sarata tarpushkanki. Sin. 1 Chapa; 2 ismu."
mishana,['mišana'],['v'],"s. competir, ganar. Chayllatatak rurakushpa ñawpashpa tuku- chiy. Yachaykunapi mishakuni. Sin. Kamana, yallina."
mishki,['miški'],['adj'],"dulce, fragante; sabroso. Sumak ashnarik, mana hayak. Mishki ukata ñukaman karaway.   s. pulque de cabuya. Chawar sapita hut- kukpi wikishina llukshichik yaku. Mishkita pukushka chawar yuramanta apa- muni. raspadura. Wiru yakuta timpuchikpi sin- chiyashka rumishina muru. Sara apipika mishkita churarkani. Sin. 1 chawcha."
mishkichina,['miškičina'],['s'],"condimento. Mi- kunata sumakyachik kiwakuna, kutakuna, shukkunapashmi kan. Chawpi puncha mikunata mishkichinawan yanunki."
mishkichuspi,['miškičuspi'],['s'],abeja. Mis- hkita kuk chuspi. Mishki chuspika sisakunata mishkita mas- kakun. Sin. putan chuspi.
mishkishimi,['miški šimi'],['adj'],"lisonjero. Imatapash mishkilla rimak. Chay wamraka mishki shimimi kashka, pak- tarak."
mishu,"['mišu', 'misti']",['adj'],"mestizo. Español runawan, Abya-yala runawan tantarishka- manta wacharishka runa. Tawka mishumi kay mamallaktapika kaw- san. Sin. laychu, tsala."
mishun,['mišun'],['s'],herramienta para desho- jar. Atallpa chankamanta llukshichishka tullu. Sarata tipinkapak rurashka tullu. Mishunwanmi sarata sumakta tipinchik. Sin. Tipina.
misi,"['misi', 'miši', 'mišu']",['s'],"gato. Ñutu millma- yuk, suni chupayuk, uchilla rinriyuk wiwa. Ukuchata hapik, runakunawan kawsak. Wawa misiman mikunata yanushpa karanki. mita [mita] s. época, período, edad. Tukuy- kuna kawsay pacha. Chay mashika ñukanchikpa mitamantami kan. Sin. pacha."
