word,variant_forms,abreviaturas,translation_value
ña,['ña'],['adv'],"ya, al instante. Ari ninkapak ranti shimimi kan. Ña llaktamanta shamunimi."
ñachak,"['ñačax', 'ñačak', 'ñača', 'ñačix']",['s'],"ss. planta medicinal de flor amarilla. Killu sisa- yuk, pampakunapi wiñak uchilla kiwa. Rupay unkuyta hampik yura. Unkuyta hampirinkapakka ñachak kiwa ya- kuta upyanchik."
ñaka,"['ñaka', 'ñaxa']",['adv'],antes. Yallishka pa- chata rikuchinkapak shimi. Wasipika ñakami purikurkani.
ñakalla,['ñakalya'],['adv'],"recién, hace poco. Kunanlla pacha ninkapak shimi. Kanpa yayaka ñakallami kaymanta rirka. ñakarina [ñakarina, ñaxarina] v. atorme- tarse, lamentarse. Ima llakikunamantapash shunkupi nanarina. Paypa warmi wañushkamanta achkatami ña- karin. Sin. nanarina."
ñakchana,"['ñaxčana', 'ñagčana']",['v'],"peinar. Akchata allichinkapak ñakchawan llampuy. Akchata yakuwan hukuyachishpa ñakchan. ñalla [ñalya, ñaža] adv. casi, ya mismo, en- seguida. Imatapash utkarinmi nina shimi. Pachamamaka mana alli kamakpika ñallami achkata llakichinka."
ñan,"['ñaŋ', 'ñampi']",['s'],"camino, sendero, vía. Maymanpash purishpa chayankapak ruras- hka. Kay ñanta katishpami urkumanka chayanki. ñaña [ñaña] s. hermana a hermana. Chay mamamantallatak wacharishka ushushipura nina shimi. Paymi ñukapa kipa ñaña kan, María nirka. ñañu [ñañu] adj. delgado. Imapash ashta- wan chusulla. Runa warmikunapa puchkaka achka ñañumi kan."
ñatak,"['ñatak', 'ñatax', 'ñata', 'ñatag']",['interj'],"ex- presión prohibitiva ¡cuidado!. Ama chayta ru- raychu ninkapak shimi.  Ama tamyapi rinkichu, ñatak urmankiman. Sin. paktarak."
ñawchi,['ñawči'],['adj'],"punta, agudo, aguzado. Imapash kasha, yawri umashina kak. Shuarkunapa wachika ñawchimi kashka. ñawi [ñawi, ñabi, ñiwi] s. ojo, vista. Runaku- napi, wiwakunapi tukuyta rikuk. Rukuyakpika ñawika ñawsatami rikun. s. cogollo. Yurakunapi, kiwakunapi chaw- pimanta llukshik llullu panka. Yakuta, wanuta churakpika yurapa ñawika sumaktami wiñan. cara, rostro. Shimi, sinka, rinri, tirkutapash charik, shuk llaktakunapi uya shutiyukmi kan. Runakunapa ñawika kushillami kan. Sin. 2 llulluk, 3 uya."
ñawpa,"['ñawpa', 'ñaŋpa']",['adv'],"antiguo, re- moto; adelante. Kawsaykuna kallarik pacha. Runakunaka ñawpa yayakunapa kawsayta katina kanchik."
ñawpak,"['ñawpax', 'ñawpak', 'ñawpag', 'ñaw-\nbug']",['adv'],"delante, primero, delantero, pre- decesor. Imakunapash payrak tiyak, mana washaman sakirik. Ñukapa ñawpakpimi llamakunata rantirka. ñawpana [ñawpana, ñaŋpana] v. adelan- tarse, anticiparse. Imapipash shukta yallish- pa ruray. Yachachikka hatun ñanta ñawpakun. ñawsa [ñawsa] adj. ciego. Mana ñawiwan rikuyta ushak, ñawi wakllirishka. Ñawsa ñawi tukushpaka achka llakimi kan. ñirak [ñirak, nirak] comp. Clase, variedad. Kayka chayshina rikurikmi kan nishpa rimay. Kay sisaka amankayñirakmi kan. Sin. sami, -shina."
