word,variant_forms,abreviaturas,translation_value
kiwa,"['kiwa', 'xiwa', 'khiwa']",['s'],hierba en gene- ral. Tukuy allpapi wiñak uchilla yurakuna. Chakrakunata mana allichikpika aya kiwaku- naka huntanllami.
kiwana,"['kiwana', 'xiwana', 'khiwana']",['v'],"des- hierbar, sacar la hierba. Aya kiwakunata an- chuchina, tantachina, pitinapashmi kan. Tukuy ayllukunami chakrapi aya kiwataka ki- wanchik. 2. juntar, cortar hierba. Kuchushka kiwaku- nata tantachina. Kunu wiwakunaman kiwanchik. Sin. 2 Hallmana."
kiwina,"['kiwina', 'kibina']",['v'],"lisiar, torcer, dislo- car. Chaki tullu, maki tullu kuyurishpa waklli- rina, wishtushpa kuyuchina. Atallpata wañuchinkapakka kunkata kiwin- chik."
kiya,"['kiya', 'kya']",['s'],pus. Aycha punkishka- manta chupu tukushpa killu sanku api. Chupumantaka kiyata kapishpami hampi- taka churanchik.
kiyayana,"['kiyayana', 'kiayana']",['v'],"enconarse, infectarse las heridas. Chukrishkakuna, chu- pukuna killu sanku apiyuk tukuna. Chukrika mana alli hampishkmanta kiyayas- hka."
kucha,"['kuča', 'koča']",['s'],"lago, laguna, charco. Maypipash allpa hutkukunapi achka tantar- ishpa tiyak yaku. Kay kuchapika achka challwami tiyan. Sin. Hita, walun, punza."
kuchayana,['kučayana'],['v'],"inundarse, for- marse un lago, charco o algo similar. Yapata tamyakpi yaku huntashpa sakiriy. Yalli tamyakpi kaypika manchanay kucha- yashka. Sin. Huntana, nuyuna."
kuchi,"['kuči', 'xuči', 'khuči']",['s'],"chancho, ma- rrano, cerdo, puerco. Chusku chakiyuk, suni sinkayuk, raku millmayuk wiwa. Wirata, ay- chatapash kuk wiwa. Kuchika palantata mikushpa wirayan."
kuchu,['kuču'],['s'],"rincón. Maypipash sakirik  Puñuna kuchupimi kullkitaka tarirka. s. esquina. Ishkay pirkakuna tantarina kus- kapi sakirik uku. Kancha kuchupi tiyakun. adv. al lado, cerca. Imakunapash shukpa manyapi tiyak. Quito kuchupimi kawsani. Sin. 3 manya, kaylla."
kuchuna,['kučuna'],['v'],cortar. Imatapash pi- tina. Wakraman karankapak kiwata kuchuni. 2. talar. Yurakunata pitishpa urmachina. Llullu yurataka ama kuchunkichu. Sin. 1 Pitina.
kuchuyarina,['kučuyarina'],['v'],"acercarse. Karumanta kimirina. Yachana punchakunaka ñami kuchuyarin. Sin. Manyayana, kayllayana, kimirina. kukawi [kukabi, kukawi, kukayu, kukaw] s. fiambre, tonga, colación. Yarkayta samachin- kapak asha mikunakuna. Minkapika tukuy sami kukawitami mikunchik. kukupa [kukupa] s. búho negro de pecho amarillo. Yana patpayuk, misishina ñawiyuk, tutapi tun tun nishpa rikrata uyachik anka. Kukupa ñawika manchanayaymi kan. Sin. Apapa, kuskunku, pukunku."
kula,['kula'],['s'],"cacao blanco. Killu karayuk, pukushpa paypa munayta urmak, ukupi achka uchilla yurak muyukunata charik yura. Kula muyumanta mishki mikunata surkuni. Sin. Kila, patas."
kulla,['gulya'],['s'],martes. Ishkayniki puncha. Wakin hampikkunaka kulla punchapi allita alliyachin.
kullan,"['gulyan', 'gužan']",['s'],"ss. taxo. Yapa su- nita ankuyashpa wiñarik yura, killulla mishki murata aparik yura.. Kullanta yuramanta paktankapak rini. Sin. Takzu. kullay suyu [kulyay suyu, kulya suyu] s. re- gión sur. Argentina llaktaman sakirik suyu. Bolivia llaktaka kullay suyupimi sakirin. kullishtiti [kulyštiti, kulyuštitin] s. amz. pá- jaro carpintero. Chakirishka yurakunata tap- sawan takashpa hutkuk pishku. Kullishtitika sachapimi kawsan."
kullki,"['kulyki', 'kužki', 'kulki']",['s'],"plata. Allpa ukupi taririk achiklla yurak anta. Warmi tupullinaka kullkimanta rurashkami kan. 2. s. dinero. Rantinkapak rurashka antakuna, pankakunapash. Ishkay chunka panka kullkita apamuy. kullpina [kulypina, kužpina] v. dar de nal- gadas. Wawakunata sikipi makiwan waktana. Kaynami paypa churitaka kuyashpa kull- pirka."
kullu,"['kulyu', 'kužu', 'xužu']",['s'],tronco. Yuraku- nata asha asha pitishka. Yantata rurankapakmi kullutaka kuchurkani. Sin. Putu.
kulluna,['kulyuna'],['v'],"acción fallida. Munas- hka yuyayta mana paktachina. Payta katikushpami kullurirkani. 2. v. mutilar. Imatapash pitina, kuchuna. ¿Imanishpatak kanpa rukata kullurkanki? kulta [kulta] s. pato. Yakupi wampuk, atall- pashina pishku. Pedroka kultata wampuchishpa pukllan. kulun [kuluŋ] onom. trueno. Tamyakuk pa- chapi puyupura takarishpa tukyakshina uya- rik. Sinchi kulun uyarikpimi wawaka man- charirka. Sin. Tulun."
kumal,"['kumal', 'kumar']",['s'],amz. camote. Uchilla lumushina allpa ukupi aparik anku yura. Kumalka mishkipash kachipashmi tiyan. Sin. apichu.
kumir,['kumir'],['adj'],"color verde. Mana chakis- hka, llullu kiwashina llimpi. Yuyuka kumir llimpiyukmi kan. Sin. waylla."
kumu,['kumu'],['adj'],"scs. jorobado, corcobado. Washa kunka tullukuna wakllirishpa kipishi- nata aparishka runa. Manuel mashika uchillamantami kumu kan. kumuna [kumuna] v. agachar, inclinar. Tukuy ukkuta urayachina, tiyarikshina rurana. Umata armankapak alli kumuna. kunampu [kunaŋ] s. amz. variedad de pal- mera. Chillishina pankayuk raku yura. Anti suyu wasikunaka kunampu panka-   wanmi rurashkakuna kan. Sin. lukata."
kuna,['kuna'],['v'],dar. Ima charishkakunata shukman karay. Kanpa shuyushkataka payman kurkani. Sin. karana.
kunan,"['kunaŋ', 'kunuŋ']",['adv'],"ahora, hoy, ac- tual. Kay pacha rurakukta rikuchik shimi. Ñukapa yayaka kunanmi puñukun. kunawaru [kunawaru] s. amz. variedad de sapo pequeño. Waylla karayuk, yura hut- kukunapi kawsak uchilla hampatu. Wawakuna kunawaruta maskashpa pukllan. kunana [kunana] v. aconsejar. Sumak yu- yayta alli rimaytapash kuy. Sawariy punchapika hatunyayamamaka alli rimaykunawan kunan. 2. s. consejo. Alli rimayta kuna. Sawarina punchapika hatunyayamamaka alli kunaykunata kun."
kunchu,['kunchu'],['s'],"s. residuo de la chicha. Sanku puchukay aswa. Kunchu aswata mana munanichu. Sin. tikti. kunti suyu [kunti suyu] s. región occiden- tal, occidente. Mama kuchaman sakirik suyu. Yunka llaktaka kunti suyupimi sakirin. kunuk [kunuk] adj. caliente, abrigado. Mana chiri kak. Yunka llaktaka kunukmi kan."
kupa,"['kupa', 'xupa']",['s'],"basura. Imapash shi- tashka kak. Kupaka wanuman tikran. Sin. Ñuku, mapa."
kuri,"['kuri', 'kori']",['s'],"oro. Killu llipyakuk antas- hina. Nambija llaktapika achka kurimi tiyan. kuri kaspi [kuri kaspi] s. oro. árbol cuya corteza se usa para curar el reumatismo. Pu- ka karayuk, karamanta yawarshina llukshik yura. Kara yanushka yakuta upyakpi tullu na- nayta hampik. Chukchuy unkuy hapikpika kuri kaspi yakuta upyani. Sin. Chukchu wasu."
kurikinki,"['kurikinki', 'kurikinge', 'kurikinga']",['s'],"curiquingue. Urkupi kawsak umasapa sinchi silluyuk, ankashina pawak pishku. Ishkay kurikinki hawata yallikpimi sawariy ti-     yanata yachanchik."
kurpa,"['kurpa', 'kulpa']",['s'],"s. terrón. Rumiyas- hka allpa muru. Sañuta rurankapakmi allpa kurpakunataka ñutuy kallarin. 2. adj. enano, rechoncho. Rukuyashka uchi- lla runa. Kurpa kashkamanta mana paktarka. Sin. 2 Piruru."
kuru,"['kuru', 'xuru', 'khuru']",['s'],"gusano. Tullu illak, chakisapa uchilla wiwa. Murukunapi, yu- rakunapi mirarik. Pinkalaka aychakunapi kuruta churan. 2. adj. amz. corto. Imapash kutulla kak. Takshakpimi kushmaka kuru tukushka. kurumama [kurumama, kuruma] s. amz. mosca grande que no pica. Kurukunata wa- chak hatun chuspi. Mishkikunapi, mikunaku- napi, mapakunapi tantarik. Mishki mankapi kurumamaka tiyarishka. Sin. Pinkala."
kurunta,['kuruŋda'],['s'],"tusa. Sarata ishkukpi tullushina sakirik kaspi. Chakishka kuruntawan mutitaka yanun. kururu [kururu] s. ovillo. Puchkata pillushka rumpashina rikurik. Puka, waylla kururukunata tantachini. kururu [kururu] s. amz. pez pequeño de franjas amarillas y negras. Yanawan killuwan tullpurishkashina uchilla challwa. Kururuta mayumanta aychamuni. kururuna [kururuna] v. ovillar. Puchkata pi- lluy. Llama millmamanta puchkatami kururuni. kuruna [kuruna, xuruna, khuruna] v. agusa- narse; apolillarse. Aychakunapi, muyukunapi, shukkunapipash kurukuna mirarina. Mana hampishka papaka achkatami kurun. Sin. kuruyana, susuna."
kuruyana,"['kuruyana', 'xuruyana', 'khuruyana']",['v'],"agusanarse; apolillarse. Aychakunapi, mu- yukunapi, shukkunapipash kurukuna mirariy. Mana hampishka papaka achkatami kuru- yan. Sin. kuruna, susuna."
kusa,['kusa'],['s'],"marido, esposo. Kuyashka warmiwan kawsankapak sawarik kari. Kanpak kusaka ¿ima shutitak kan? Sin. Kari."
kusana,['kusana'],['v'],"asar. Aychata, muruta, shukkunatapash nina murupi chayachina. Kunanka kuy aychatami kusakuni."
kushi,"['kuši', 'kusi']",['s'],"alegría, felicidad, dicha, ventura; fortaleza, energía. Llakikuna illak sumak kay. Karu llaktamanta churi tikramukpimi kushi tukuni. 2. s. amz. canas. Rukuyakpi umapi akcha yu- rakyana. Kanpa umapika ñami kushi wiñashka. Sin. sami."
kushilla,"['kušilya', 'kusilya', 'kušiža', 'kusiža']",['adv'],"feliz, contento, alegre, dichoso. Llaki i- llak, mana llakirik. Quito kitimanta wasiman kushilla tikrarkani. kushma [kušma, kužma] s. especie de tú- nica, camisa, camiseta. Ukkuta killpankapak rikra illak churana. Kanpa kushmata takshashpa intipi cha- kichikun. Sin. Unku."
kushni,"['kušni', 'kusni']",['s'],"humo, humareda. Imatapash rupachikpi wakinpika yurak, wa- kinpika yanalla puyushina llukshik. Waylla yantata rupachikpika yana kushnimi llukshirka."
kushnichina,['kušničina'],['v'],humear. Imata- pash rupachishpa puyushinata llukshichiy. Kushita hapichun wamrata kushnichirka. kushniyana [kušniyana] v. tiznarse. Kushni kakuwan imatapash yanayachiy. Chawa yantata rupachishpa yanukpi kushni- yan.
kushpana,['kušpana'],['v'],"s. saltar, brincar.  Runakuna wiwakuna, pishkukunapash hay- tarishpa hawaman pawan. Payka pampapi kushparka."
kushparina,['kušparina'],['v'],"sc, amz. pata- lear. Runakuna, wiwakuna chakita sinchita kuyuchiy. Kasilla puñunki, ama kushparinkichu. 2. molestar. Shayarishpa, tiyarishpa, kuyu- rishpa tukuykunata kushpachiy. Yachakuk wawaka mashikunata kushparin."
kushpi,['kušpi'],['s'],peonza. muyuchinkapak pukllana. Wawaka kushpiwanmi pukllan. Sin. piruru.
kuska,['kuska'],['s'],"amz. puesto, lugar, direc- ción, sitio. Maypi kashkata, kawsashkata rik- sichik shimi. Kay kuskapimi wasita rurasha. Sin. tiyaskan, suyu."
kuskunku,['kuskuŋgu'],['s'],"sns. búho. Uchpa patpayuk, misi ñawishina tutapi pawak anka. Kuskunku wakakpika wañuy tiyachun ninku- nami. Sin. Pukunku, apapa."
kutama,['kutama'],['s'],"costal. Tulushina, ima- pash wakaychinkapak rurashka. Atukka	kutamapi	urpita,	yututapash churashka."
kutana,['kutana'],['v'],moler. Murukunata ku- tana rumiwan ñutuchiy. Payka apita rurankapakmi sarata kutarka. Sin. Chamkana.
kutashka,['kutaška'],['s'],"harina. Murukunata ñutukpi llukshik haku. Kutashkata utka yanunki. Sin. kuta, haku."
kutichina,['kutičina'],['v'],"contestar. Pipash, maykanpash imata nikpi rimashpa tikrachiy. Wawakuna ñuka nishkata kutichirka. 2. devolver. Mañashkakunata tikrachiy. Mañachishka llamata ñami kutichirka. Sin. 1 Kutipana, tikrachina, rantimpana."
kutimpu,"['kutimbu', 'kutiŋbu']",['s'],"amz. armadi- llo grande. Suni silluyuk, raku karayuk cha- rapashina rumi washayuk, allpa hutkupi kawsak wiwa. Kutimpuka allpata aspishpa ukuman chin- karirka."
kutimuna,['kutimuna'],['v'],"retornar, regresar, volver. Maymantapash kikin suyuman tikray. Wakin kichwa runakunaka kikin llaktaman kutimun."
kutin,['kutiŋ'],['adv'],"otra vez, de nuevo, nue- vamente. Chayllatatak ruray. Ña wasiman kutin tikrakun."
kutsi,"['kutsi', 'kusi']",['adj'],"s. ligero, ágil. Imata- pash hawalla utka utka rurak runa. Chay runataka kutsi kakpimi sawarirka. 2. amz. laborioso. Mana killa runa. Payka kutsi kashpami alli kawsan. Sin. 1 Utka."
kutu,['kutu'],['s'],"bocio. Kunka punkirishpa rumpashina wiñak aycha. Wawapa kunkapi kutu wiñashka. 2. s. s. corto. Imapash mana suni, kutulla ri- kurik. Wawaka kutu warayukmi kan. Sin. 2 kuru, kurulla."
kutul,"['kutul', 'xatulu', 'katul', 'katulu']",['s'],"s. hoja que cubre al choclo. Sara kaspata pillurik panka. Chukllu tantata kutulwan pillurka. kutuyana [kutuyana] v. s. encogerse. Awashkakunata takshakpi kichkiyashpa uchi- lla tukuy. Ruwana awashkata timpushka yakuwan sa- rukpi alli kutuyarin. Sin. Kuruyay, kurullayay, kurpayay."
kuwa,['kuwa'],['s'],"amz. sapo que habita en ár- boles. Yurakuna hawapi kuwa kuwa nishpa kaparik, mikuna hampatushina rikurik wiwa. Kuwa hampatuka yurapimi kawsan. kuwayu [kuwayu] s. amz. pájaro nocturno denominado huacharro. Muru patpayuk uchilla pishku, tutalla llukshik, mikunkapak mana alli. Kunan tutamantaka kuwayumi yallita wa- karka."
kuwayu,['kuwayu'],['s'],"amz. sapo pequeño comestible. Ñawisapa uchilla rikrayuk ku- wayu kuwayu nishpa kaparik wiwa, mikuypak alli. Kuwayu aychaka mishkimi kan."
kuy,"['kuy', 'kuwi', 'kowi']",['s'],"cuy, conejillo de in- dias. Wasi ukupi, uchilla, mishki aychayuk     wiwa. Inti raymípica kuy aychata mikunchik."
kuya,"['kuya', 'koya']",['s'],"esposa del inka.   ukllarishpa kushikuy. Ñukapa wawkitami kuyarka. Sin. 1. llakina, munana.  KUZU  Ñawpa kawsaypi inkapa warmi. Inka pachapika shuk killapi kuyakuna ray- mita rurak karka."
kuyachina,"['kuyačina', 'xuyačina']",['v'],"seducir, acariciar. Imallatapash huchachishpa mishki rimaywan kimirayak tukushpa kakuriy. Alli shunkuta rikuchishpa kuyachirkani. Sin. munachina. Kuyachina [kuyačina, xuyačina] v. dar pal- madas. Pitapash makiwan waktashpa kuyay. Tikramuk mashita paypa mamaman kuya- chirkani."
kuyana,"['kuyana', 'xuyana', 'khuyana']",['v'],"s. amar. Karipash warmipash tukuy shunkuwan llakirina. Ñukapa yayaka alli kuyawashka. 2. acariciar, mimar. Wawakunata, pitapash"
kuyaylla,"['xuyayža', 'kuyaylya', 'kuyayža', 'khu- yayža']",['adj'],"snc, amz. bonito, lindo, amoroso, hermoso, -a. Imakunapash sumaklla rikurik. Kuyaylla millmayuk llamawata rantimuni. 2. adj. ss., amz. triste, digno de lástima. Lla- killa purik, llakinayakta rikurik runa. Runaka kuyayllami purikushka. Sin. 1 sumak, 2 llakilla."
kuytsa,['kuytsa'],['s'],"sn. muchacha, señorita, jovencita. Manarak sawarishka mallta warmi. Chay kuytsaka sumak yuyayyukmi kan. Sin. Wamra, chinunka, mallta, pasña. kuyuchina [kuyučina] v. mover, menear, mecer, batir, girar. Imakunatapash muyuchiy. Api mankata rikushpa alli alli kuyuchin. kuyuna [kuyuna] v. moverse, agitarse. Ima- pash mana shuklla kuskapi tiyak. Allpa chukchukpimi wasika kuyurirka. kuzu [kusu, kuzu, gusu, xuzu] s. gusano grande subterráneo. Hatun yurak kuru. Allpa ukupilla kawsak ukata, papata mikuk. Achka kuzukunatami atallpaman kararka. kuzu [kusu, kuzu, gusu, guzu, xuzu] s. ss. ciénega, fango, pantano. Turu pampakuna, urkumanta llukshik yaku. Kuzupi kuchika yaykushpa pamparirka."
kuña,"['kuña', 'khuña', 'xuña']",['s'],"snc. moco. Ru- napa, wiwapa sinkamanta llawsashina lluks- hik. Wawapa sinkamanta kuñata pichay."
lalu,['lalu'],['s'],"amz. tipo de planta. Hatun pan- kayuk, yurak wiki¬yuk, shikshichik kiwa. Wawakuna lalu kiwawan pukllashpa makita shikshichin."
lampa,['lampa'],['s'],pala. Llamkana hillay. Larkataka lampawan pichani.
