word,variant_forms,abreviaturas,translation_value
kasku,['kasku'],['s'],"pecho. Wiksa chushak- manta pilischakakama tiyak tullu. Wakra kaskuka may mishkimi kan. kaskana [kaskana] v. scs. desgastar, roer, pelar con los dientes. Mikunakunata, shuk- kunatapash kirukunawan mukuna. Chay allkuka wakra tullutami kaskakun. Sin. Kashtuna, mukuna."
kaspa,['kaspa'],['s'],"s. mazorca. Kuruntantin sara, cebada murukunapash manarak is- hkushka. Tukuy kaspakunata wayunkashpa warkur- kani."
kaspana,['kaspana'],['v'],s. chamuscar. Wi- wapa millmata rupachishpa anchuchina. Kuchitaka raymipi mikunkapakmi kaspar- kani. Sin. Rupachina.
kaspi,['kaspi'],['s'],"palo. Yurakunapa tullushina sinchi kak. Llamata kaspipi watan. amz. madera. Raku sinchi yurakuna, ru- raypi mana wakllirik kaspi. Wasita rurankapakmi kaspitaka mashkaklla rini. Sin. 2 kiru."
kastilla,"['kastilya', 'kaštilya']",['adj'],"España, de Castilla. Españamanta kak. Kaypika kastilla shimitapash riman. katana [katana, khatana, xatana] s. cobija; cobertor. Chirita harkarinkapak awashka- kuna. Wamra, chay katanata apamuy."
katana,"['katana', 'khatana', 'xatana']",['v'],"cobijar, cubrir. Imawanpash hawamanta killpay. Urkupika wayta ukshawan katanchik. 2 s. techar. Pankakunawan, ukshawan, shukkunawanpash wasita killpay. Lisan pankawan wasitaka katarkanchik. katichina [katičina] v. scs. resembrar, hacer seguir. Muru mana wiñashkakunapi kutin tarpuna. Juan wawaka saratami katichikun. Sin. Awinchina, kumpana. kati kati [kati kati] interj. expresión para hacer caminar a personas o animales. Yapu- kuk wakrakuna wachuta purishpa richun nina   shinchi rimay. Yayaka wakra yuntata kati kati nishpami ya- pukun. Sin. Richun."
katina,['katina'],['v'],seguir. Shukpa washapi purina. Yayapa washata katikuni. perseguir. Imatapash hapinkapak washalla purina. Wawa allkuka chuchuta nishpa katirka imitar. Ima rurashkatapash chayshinalla- tak rurana. Yachachik hankashpa purikta katikuni. Sin. Rikchana.
katsu,"['katsu', 'kazu', 'xatsu']",['s'],"sn, sc. escara- bajo. Kuzu kuru rukuyashpa chuspiman ti- krashka wiwa. Tamya pachakunapi ashtawan pawashpa purik, wakinkunaka mikunkapak allimi. Imbabura llaktapika katsukunata kamchas- hpami mikun. Sin. chuna."
katu,['katu'],['s'],"amz. colada de plátano verde. Palanta ñutushkata, sacha aychawan yanus- hka mikuna. Palanta katuta mikushpaka yuyaysapami kani."
katuwasi,"['katuwasi', 'xatukwasi']",['s'],"alma- cén, tienda. Mutsurishkakunata katunkapak charik. Katuwasimanta kachita rantirkani."
katuna,"['katuna', 'xatuna', 'khatuna']",['v'],snc. vender. Imatapash kushpa kullkita chaskina. Kanka ñukaman wakrata mana katurkanki- chu.
kaw,['kaw'],['adj'],"choclo bien maduro. Chukllu pukurishpa saraman tikray kallarik. Manarak chakirishka muru. Kaw sarawanmi chukllu tantataka ruran. Sin. Walu, paruk, halun."
kawana,['kawana'],['v'],"mirar, observar con detenimiento. Imatapash alli alli rikurayashpa katiy. Wiralla wakrata rantinkapakmi kawanchik. Sin. Chapana, rikuna."
kawchu,['kawču'],['s'],"piola, soguilla. Ima puchkakunatapash pillushpa pillushpa sinchi rurashka ñañu waska.     Wayakata watankapak kawchuta apani. kawchushka [kawčuška] adj. torcido. Puchkapura pilluchishka. Kanka ¿kawchushka waskata charikun- kichu?."
kawchuna,['kawčuna'],['v'],torcer. Puchka- pura pilluchishpa ishkay makiwan waskana. Kanka ¿chawartachu kawchukunki? 2. hacer soga. Puchkapura pilluchishpa waskata ruray. Kanka ¿waskata rurankapakchu kaw- chunki? Sin. Kawpuna.
kawina,"['kawina', 'xawina', 'kabina']",['s'],"amz. remo. Wampunata yakupi purichik kaspi. Kan wamputa kawinawan purichinki. kawirina [kawirina] v. amz. revolcarse; ha- cerse un movimiento en vaivén. Kayman chayman kuyurina. Kanpa wawaka turupimi kawirikun. kawitu [kawitu, khawitu, kayutu] s. cama, catre. Sukusta watashpa pallashka puñunka- pak patashina rurashka. Puñunkapak kawituta sumaktami allichin. Sin. Puñuna."
kawina,"['kawina', 'xawina', 'kabina']",['v'],"batir, mecer, menear, mover. Imatapash muyuchis- hpa kuyuchina. Aswata rurankapak sara akuta kaspiwanmi kawin. Sin. Muyuchina, kuyuchina."
kawka,['kawka'],['adj'],"s. cereales y legumino- sas a medio cocer. Sara, purutu, inchik, shuk murukunatapash hawa hawalla yanushka. Kawka sarata kutashkata yanushka mikuyka sumakmi kan. 2. s. colada de maíz pelado. Llushtishka sa- rata kutashpa yanushka api. Kawka apita mikurkani. Sin. Kalun, chawalla."
kawlla,['kawlya'],['adv'],amz. crocante. Imata- pash mikukpi kaw kaw uyarik. Sarataka kawlla uyarayarichunmi kam- chanki.
kawllarina,['kawlyarina'],['v'],s. maduración del choclo. Chukllu sarakuna pukushpa sin- chiyay. Chay sara chakraka ñami kawllarishka.
kawpi,['gawpi'],['s'],"amz. variedad de tucán pequeño. Uchilla suni kiruyuk, sikwankashina pishku. Kawpika chunta yurapimi tiyakun. kawpuna [kawpuna] v. torcer. Millmaku- nata, puchkakunata maki ukuwan pilluchis- hpa waskata rurana. Kanka ¿chawartachu kawpukunki? Sin. Kawchuna."
kawsak,['kawsak'],['s'],"ser vivo, viviente. May- kanpash wañunkakama tiyak. Kay llaktapi kawsakkunaka tantalla tarpun. kawsay [kawsay] s. vida. Runakuna, wiwa- kuna, yurakunapash wañunkakama tiyay. Wakcha runapa kawsayka llakillami kan. cultura. Shuk ayllu llakta runakuna imas- hina kashkata riksichik. Ñukanchikpa kawsayta kuyanami kan. v. vivir. Tukuy kuyurikkuna allpa pachapi tiyay. Ñukaka anti suyupimi kawsani. habitar. Tukuy runa, wiwa kay allpa pa- chapi wacharina, wiñarina. Kay pachamamapi kawsanchik. Sin. 3-4 Tiyana."
