word,variant_forms,abreviaturas,translation_value
isma,"['isma', 'izma']",['s'],"excremento, heces, mierda, abono, estiércol, deposición."
ismana,"['ismana', 'izmana']",['v'],defecar.
ismu,['ismu'],['adj'],podrido.
ismuna,['ismuna'],['v'],"podrirse, descompo- nerse."
ismushka,['ismuška'],['adj'],amz.
itsipu,['itsibu'],['s'],im.
iwa,['ixwa'],['s'],amz.
iwilan,['iwilyan'],['s'],arbusto.
kachana,['kačana'],['v'],"enviar, mandar."
kacharina,['kačarina'],['v'],"soltar, safar, permi- tir."
kachi,['kači'],['s'],sal.
kachik,['kačix'],['s'],"amz, ss."
kachun,"['kačuŋ', 'xačuŋ']",['s'],nuera.
kahalli,['kaxalyi'],['s'],amz.
kahas,['kaxas'],['s'],cordillera.
kaka,"['khaka', 'kaka']",['s'],vaso redondo de ma- dera de cuello largo.
kakuna,"['kakuna', 'xakuna']",['v'],"frotar, fregar, sobar."
kalak,['kalax'],['adj'],snc.
kalamatu,"['kalamatu', 'gamalatu']",['s'],amz.
kallampa,"['kalyaŋba', 'kažaŋba']",['s'],"hongo, seta."
kallana,"['kalyana', 'kažana']",['s'],tiesto.
kallari,"['kalyari', 'kažari']",['adv'],"inicio, comienzo, génesis, principio."
kallcha,"['kalyča', 'kalča']",['s'],"sc, ss."
kallpana,"['kalypana', 'kažpana', 'kalpana']",['v'],"correr, trotar."
kallu,"['xažu', 'kažu', 'khažu', 'khalyu', 'xalyu', 'kalyu']",['s'],lengua.
kallwa,"['kalywa', 'kažwa', 'kalwa']",['s'],lengüeta.
kaluk,"['kalux', 'kaluŋ', 'xalun']",['adj'],amz.
kamachik,['kamačik'],['s'],"juez, autoridad."
kamachina,['kamačina'],['v'],amz.
kamachiy,['kamačiy'],['s'],"ley, reglamento, ar- tículo."
kamana,['kamana'],['v'],amz.
kamari,['kamari'],['s'],"regalo, ofrenda."
kamarina,['kamarina'],['v'],regalar.
kamcha,"['kaŋča', 'kaŋža', 'kamča']",['s'],s.
kamchana,"['kaŋčana', 'kaŋžana', 'kamčana', 'kamžana']",['v'],tostar.
kampik,"['kaŋbix', 'kaŋbi']",['s'],amz.
kan,"['kan', 'xam']",['pron'],"Tú, usted."
kanchis,['kaŋčis'],['num'],siete.
kankik,['kaŋgix'],['s'],amz.
kankil,['kaŋgil'],['s'],amz.
kantina,['kaŋtina'],['v'],amz.
kapak,"['kapak', 'kapax']",['adj'],"principal, grande, importante; grandeza."
kaparina,['kaparina'],['v'],"gritar, chillar."
kapuli,"['kapuli', 'kapus']",['s'],capulí.
kapya,['kabya'],['adj'],ss.
kara,['kara'],['s'],"piel, cuero, pellejo, cáscara."
karacha,"['karača', 'karači']",['s'],costra.
karachi,"['karachi', 'karatsi']",['s'],sn.
karana,['karana'],['v'],"brindar, convidar, servir, dar de comer."
kari,"['xari', 'kari', 'khari']",['adj'],"hombre, varón; macho."
kariyana,"['kariyana', 'hariyana', 'xariyana']",['v'],"reanimarse, convalecerse."
karkayana,['karkayana'],['v'],s.
karkuna,['karkuna'],['v'],"arrear, despedir, echar."
karpa,['karpa'],['s'],"cubierta grande, toldo."
karuyana,['karuyana'],['v'],alejarse.
kasa,"['kasa', 'kaza']",['s'],s.
kasana,['kasana'],['v'],s.
kashtuna,['kaštuna'],['v'],s.
kashuk,['kašux'],['s'],axila.
