word,variant_forms,abreviaturas,translation_value
isma,"['isma', 'izma']",['s'],"excremento, heces, mierda, abono, estiércol, deposición. Mikus- hka kipa sikimanta llukshik wanu. Wiwakunapa ismawan imatapash tarpukpika achkatami murukunaka pukun."
ismana,"['ismana', 'izmana']",['v'],defecar. Mikus- hka kipa aycha mana chaskishkata siki hut- kumanta llukshichina. Runaka ukupimi isman.
ismu,['ismu'],['adj'],podrido. Imapash ña wak- llirishka mana alli. Ismu aychataka mana mikuy ushanchikchu. Sin. ismushka.
ismuna,['ismuna'],['v'],"podrirse, descompo- nerse. Imapash wakllirishka tukuna. Wanuka allpapimi ismun."
ismushka,['ismuška'],['adj'],amz. podrido; mortecina. Wañushka wiwakunapa waklliris- hka aycha. Allkupa ismushka aychaka achkatami as-
itsipu,['itsibu'],['s'],"im. orzuelo. Ñawi kara sikipi shuk uchilla chupushina wiñak. Wawaka itsipu unkuy hapikpimi wakan. itsipuna [itsibuna] v. im. cerrar los ojos. Pu- ñunayakpi ñawita ñalla ñalla sipuy. Ñawipi allpa yaykukpimi itsipun. Sin. Sipuna, pimpinrana."
iwa,['ixwa'],['s'],amz. tubérculo. Lumushina mishki mikunata charik. Sachapika iwata mikun.
iwilan,['iwilyan'],['s'],"arbusto. Allpa ukupi raku- yak, takakpi puskuyak, umata armankapak alli anku. Rukuka, iwilan ankuwan umata arman."
kachana,['kačana'],['v'],"enviar, mandar. Ima- kunatapash maymanpash chayachiy. Ñukapa killkashkata yayaman kachakuni. 2. echar, despedir. Millay kashkamanta pita- pash ukumanta llukshichiy. Raymipi makanakuymanta kacharka. Sin. 2 karkuna."
kacharina,['kačarina'],['v'],"soltar, safar, permi- tir. Watashkamanta paskay. Urkupi, sachapipash wakrataka purichun ka- charin. 2. s. Permiso. Kishpiyta mañana. Samanaman rinkapakka kachariyta ma- ñarka. Sin. Ishkurina, paskana."
kachi,['kači'],['s'],"sal. Yurak ñutu rumishina mama kuchapi, wakin urkupilla tiyak, miku- nata mishkichik. Kuy aychapi kachita churani."
kachik,['kačix'],['s'],"amz, ss. guaba pequeña. Uchilla pakay, mayu manyakunapi pukuk, shuk llaktakunapi yaku pakay nishka yura. Sachapika kachik murutami mikun. Sin. Pakay. kachi kachi [kači kači] adj. salado, -da. Imapash ashtawan kachiyuk. Kay mikunaka kachi kachi kashkamanta mana mikunachu. 2. interj. expresión de llamada al ganado. Wakrakunata kayankapak rimay. Wakraka kachi kachi nishpa kayakpimi kall- pamun."
kachun,"['kačuŋ', 'xačuŋ']",['s'],nuera. Churipa warmi. Ñukapa kachunka Cotacachi llaktamanta warmimi kan. 2. cuñada. Wawkipa warmi. Kachunka ñukapa wawkita kuyashpami kawsan.
kahalli,['kaxalyi'],['s'],"amz. arbusto cuyas hojas se usan como barbasco. Challwata hapinka- pak, yaku hampina pankayuk yura, shuk llak-   tapika tanampu nishka. Anti suyupika kahalli pankawanmi challwa- taka hapinkuna. Sin. tanampu."
kahas,['kaxas'],['s'],"cordillera. hatun urkuna kak. Kahaskunapika papata, siwarata tarpunchik. kaka [khaka, xaka, kaka] s. peña, abismo, despeñadero. Rumisapa hatun wayku. Chay kakapi hampi yurakuna tiyan."
kaka,"['khaka', 'kaka']",['s'],vaso redondo de ma- dera de cuello largo. Suni kunkayuk kiru. Kakapi aswata churani.
kakuna,"['kakuna', 'xakuna']",['v'],"frotar, fregar, sobar. Imatapash makiwan lluchkachikshina rurana. Chaki kiwirishkata kunuk hampiwan kaku- way. 2. sc. untar. Wirashina apiwan hawina. Utka alliyachun wakra wirawan kakupay. Sin. Kitina; 2 llutana, hawina."
kalak,['kalax'],['adj'],"snc. ss. deprimido; depre- sión física y/o espiritual. Aychapash, yuyay samaypash unkushka. Mishuka kalakllami kan."
kalamatu,"['kalamatu', 'gamalatu']",['s'],"amz. pez pequeño casi transparente. Maywa ka- rayuk uchilla challwa. Wamraka yawriwanmi kalamatutaka hapin. kalatis [kalatis] s. amz. bejuco. Millmayuk pakayta aparik sacha anku, yaku manyapi wiñak yura. Wawakunaka kalatis ankuwanmi pukllan. Sin. Pulanti."
kallampa,"['kalyaŋba', 'kažaŋba']",['s'],"hongo, seta. Sisashina panka illak, wanukunapi, is- mu kaspikunapi wiñak uchilla yura. Ambato kitipi kallampata katukllami rini. Sin. Ala."
kallana,"['kalyana', 'kažana']",['s'],"tiesto. Turu all-   pamanta rurashka hatun pukushina rikurik. Murukunata kamchankapak, tantata kusan- kapak may alli. Allpa kallanapi kusashka tantataka may mishkimi kan."
kallari,"['kalyari', 'kažari']",['adv'],"inicio, comienzo, génesis, principio. Imatapas chayrak rikuriy. Kallari pachapi purun runakuna kawsashka. kallarina [kalyarina, kažarina] v. comenzar, principiar, iniciar, empezar. Imatapash shuknikimanta rurarina. Runakunaka inti rikurishkamantami llam- kayta kallarin."
kallcha,"['kalyča', 'kalča']",['s'],"sc, ss. tallo y hojas de maíz seco. Murukunata pallashka washa chakishka sara yura. Kallchawan sarata kamchani. Sin. Chakishka sara panka, pukus. kallchay pacha [kalyčay pača] s. tiempo de siega. Ima chakishka tarpushkata kuchuy. Kallchay pachapika aswata upyanchik. kalli kalli [kalykaly] s. amz. loro pequeño. Uchilla arawshina achkapura tantanakushpa purik pishku. Kalli kalli pishkuka sumaktami wakan. Sin. Shakalli."
kallpana,"['kalypana', 'kažpana', 'kalpana']",['v'],"correr, trotar. Utka utka tatkishpa purina. Ñukapa churika yachanawasiman ñami kall- parka."
kallu,"['xažu', 'kažu', 'khažu', 'khalyu', 'xalyu', 'kalyu']",['s'],lengua. Shimi ukupi kuyurishpa rimachik aycha. Manuel runaka wakra kalluta rantinkapak rin.
kallwa,"['kalywa', 'kažwa', 'kalwa']",['s'],"lengüeta. Sawlishina llampuchiska kaspi, ruwanata, chumpita awankapak rurashka. Chumpita awankapak kallwata rurakuni."
kaluk,"['kalux', 'kaluŋ', 'xalun']",['adj'],"amz. ss. se- micocido, difícil de cocinar. Manallatak ya- nurik muru. Kaluk lumutami rantishkani. Sin. llumi, akma."
kamachik,['kamačik'],['s'],"juez, autoridad. Ka- machiyta paktachichik runa. Ñukapa kitipika alli kamachikta charinchik. kamachinakuy (<**kamachinakuy) s. De-   recho: conjunto de leyes que regulan el com- portamiento recíproco de los hombres. Kichwa kamachinakuyka rimayllapimi tiyan, chayrak killkakunmi."
kamachina,['kamačina'],['v'],"amz. aconsejar. Ama llakitukuchun alli yuyaykunata kuna. Pedro llakita rurakpimi, paytaka pushakku- naka kamachirka. 2. legislar, hacer leyes. Alli kawsachun kama- chiykunata rurana. Luis pushak kashpaka allitami kamachirka. Sin. 1 Kunana."
kamachiy,['kamačiy'],['s'],"ley, reglamento, ar- tículo. Ama pantachun. Alli kunay yuyayyukta killkashka. Alli rurashka kamachiymi kay llaktapika illan."
kamana,['kamana'],['v'],"amz. probar, saborear. Kalluwan mallina: mishkita, chamukta, ha- yakta, rupakta, chirita. Ima kashkata yachan- kapak. Payka mikunata kachi alli kashkata kaman. Sin. Mallina."
kamari,['kamari'],['s'],"regalo, ofrenda. Imata- pash shukman karashka. Ñawpakunaka kushipatakunamanka sapan raymikunapimi kamaritaka sakik karkanchik. Sin. Pinzhi, tumina, hucha, karana."
kamarina,['kamarina'],['v'],regalar. Pimanpash imallatapash yanka karay. Raymipika rantipak mikunataka kamarinchik. Sin. karana.
