word,variant_forms,abreviaturas,translation_value
sami,['-sami'],['comp'],"Clase, variedad. Kayka chayshina rikurikmi kan nishpa rimay. Kaysami sisakunami tiyan. Sin. Ñirak, shina."
sampa,"['samba', 'saŋba', 'šampa']",['adj'],"débil, suave; perezoso, cobarde. Imapash mana sinchi. Payka unkushka kashpami yapa sampa kan. Sin. Irki, wañullanki."
sampayana,"['sambayana', 'saŋbayana']",['v'],"amz. cansarse, fatigarse, agotarse. Imata- pash achkata llamkashpa shaykuriy. Kayna tukuy puncha tarpushpami achkata sampayarkani. Sin. Shaykuna."
sampi,"['sambi', 'saŋbi']",['s'],canilla. Kunkuri- manta chakikama tullu. Payka sampi takarishpami achkata nana- chin. Sin. Pinkullu.
sampu,"['sampu', 'zambu', 'zaŋbu']",['s'],"s. sambo, mate, calabaza. Waylla karayuk suni sapa- llushina mikuna muyu. Waylla samputa turiman kararkani."
san,['saŋ'],['s'],pa. un tejido con hojas de pal- mera. Chilli pankamanta awashka. Pirutita wakaychinkapak rurashka. San hukukpimi hampiyuk pirutikunaka wakl- lirka.
sanku,['saŋgu'],['adj'],"turbio. Uki yaku, mana chuyaklla. Sanku aswata upyankapak munani. 2. adj. espeso. Imapash apishina. Mishki mikuyka achka sankumi karka. Sin. 1 Lanta, 2 tikti."
sapallu,"['sapalyu', 'sapažu']",['s'],"sapallo. Pan- kasapa ankuyashpa wiñak yura, shuk hatun rumpashina killu mikunayuk muyu. Chamuk mikunataka sapalluwanmi yanun- chik."
sapan,['sapaŋ'],['det'],"cada. Ima shutikunapa kipapi usharik shimi. Payka sapan punchami killkachishpa purin. sapi [sapi] s. raíz; origen, cimiento, principio. Yurakunapi anku wiñay kallari kuska. Allpapi tarpunkapak yurapa sapikunata surkukunchik. Sin. Anku."
sapiyana,['sapiyana'],['v'],enraizarse. Tarpus- hka yurakunamanta anku wiñay kallariy; yu- rakuna achka ankuyuk tukuy. Kapuli yuraka allpa ukupika achkatami sapi- yan.
sara,['sara'],['s'],"maíz. Hatunlla suni yura, suni pankayuk, wiruyuk, kutul ukupi wiñak muru. Minkakunamanka sara kamcha kukayu- wanmi rinchik. sara panka [sara paŋga, sara faŋga] s. hoja de maíz. Sara tullupi llutariyak suni panka. Llullu sarapankataka wakramanmi karan- chik. 2. amz. hojas que cubren al choclo. Chuklluta killpak panka. Chukllu tantataka sarapankawanmi ru- ranchik. Sin. 1 Kallcha, 2 kutul."
sarpa,['sarpa'],['s'],"rocío, escarcha. Tutamanta shuk tamyashina urmak. Sarpa kiwata mikushpa wiwakunaka wiksa punkishpa wañunkuna. Sin. shulla."
sarpana,"['sarpana', 'zarpana']",['v'],"rociar, caer el rocío. Ñutu tamya urmay, sullayachiy. Kunan punchayaktaka achkatami sarpan. Sin. Shullana."
sarun,['saruŋ'],['adv'],"pasado, antes, hace    SARUSHKA tiempo. Yallishka pachakunata nina shimi. Sarun pachapika kaypi mikuk karkanchik. Sin. ñawpa."
saruna,['saruna'],['v'],"pisar, atropellar. Imata- pash, imawanpash allpapi llapichiy. Aya kiwakunataka hutkupi shitashpa sarun- chik. Sin. Haytana."
sarushka,['saruška'],['s'],"rastro, huella, pisada. Ima purishkata riksin- kapak tarinkakama rikuy. Tutapi shuk llamata hillu allku mikushka, chayta sarushkata rurakunchik. Sin. Yupi, chaki kati."
sasi,['sasi'],['s'],"ayuno, dieta, abstención. Ima- pash mana mikuy upyay. Inkakunaka wakin kapak raymipika sasi- yukmi kashka."
sasina,['sasina'],['v'],ayunar. Imatapash mana mikushpalla yalliy. Kunan punchallami sasikuni.
satina,['satina'],['v'],"meter, introducir. Imaku- natapash ukuman yaykuchina. Aswata wishinkapakmi matita satikuni. sawarinalla warmi [sawarinalya warmi] s. novia. Karipa warmi tukuna kuytsa. Raymipika sawarinalla warmiwan tushur- kani."
sawarina,['sawarina'],['v'],"casarse, contraer matrimonio. Kariwan warmiwan pakta pakta kawsankapak arininakuy. Wakin runakunaka apunchik wasipi sawarin. sawna [sawna] s. cabecera, almohada. Ka- witupi puñunkapak umata kimichina kipi. Sawnata umapi churankapak mañachipay. sawnana [sawnana] v. arrimar la cabeza (sobre la almohada). Umata hawayachishpa churay, imapipash umata kimichiy. Sumakta puñunkapakka umataka allimi saw- nanchik."
sayri,"['sayri', 'šayri']",['s'],"tabaco, cigarrillo. As- hnak ñutu kiwata pankapi pilluchishka tsun- kankapak rurashka. Wakin	runakunaka	chirimanta	sayrita kunukyankapak tsunkan."
sayrina,"['sayrina', 'šayrina']",['v'],"fumar. Sayri kushnita kunkakama yaykuchishpa, shimi- manta sinkamantapash llukshichiy. Pacha-   mamata ama mapayanchinkapakka mana sayrinchikchu."
sayti,"['sayti', 'siti']",['s'],"muñeca, muñeco. Imata- pash wawashinata rurashpa pukllana. Wawaka saytikunawanmi pukllan. Sin. llullawawa."
saywa,['saywa'],['s'],"lindero, límite, mojón. Llaktakunapa allpapura ama pantay tiyachun imawanpash harkayta rurashka. Ñukapa allpa saywataka rikurayashpami kawsani. saywana [saywana] v. limitar, poner lindero o mojón. Harkayta churay. Ñawpa pachamanta allpa manyapika say- wankuna."
sañi,"['sañi', 'sani']",['s'],"hierba morada. Puka pankayuk uchilla yura, churanata sumakta tullpunkapak tarpushka. Sañi yurakunataka katunkapakmi tarpunchik. 2. adj. morado. Tsimpalu sisa tullpushina, shuk llaktakunapi maywa shutiyuk. Sañi pachallinatami rantirkani. Sin. Maywa."
