word,variant_forms,abreviaturas,translation_value
yawri,['yawri'],['s'],"aguja, dardo."
yaya,['yaya'],['s'],"papá, padre, tayta; semental."
yaykuna,"['yaykuna', 'ikuna', 'waykuna']",['v'],en- trar.
yayu,['yayu'],['s'],amz.
yukuna,['yukuna'],['v'],amz.
yumana,['yumana'],['v'],s.
yunkarak,['yuŋgarax'],['s'],sn.
yupay,['yupay'],['s'],número.
yupaychana,['yupayčana'],['v'],agradecer; honrar.
yupi,['yupi'],['s'],"rastro, huella, pisada."
yura,"['yura', 'yula', 'ruya']",['s'],"árbol, mata, planta, vegetal."
yurak,"['yurax', 'yurag', 'yurug']",['adj'],blanco.
yurimawas,"['yurimawas', 'yurimas']",['s'],amz.
yutu,['yutu'],['s'],perdiz.
yuturi,"['yuturi', 'yutsuri']",['s'],amz.
yuyak,"['yuyax', 'yuyak', 'yuyik']",['adj'],adulto pen- sante.
yuyana,['yuyana'],['v'],pensar.
yuyarina,"['yuyarina', 'yarina']",['v'],"acordarse, re- cordar."
yuyay,['yuyay'],['s'],"pensamiento, idea, memo- ria."
yuyaychinkana,['yuyayčiŋgana'],['v'],perder el conocimiento.
yuyayyuk,"['yuyayyux', 'yuyayux']",['s'],amz.
yuyu,['yuyu'],['s'],s.
yuyuna,['yuyuna'],['v'],amz.
zakzikina,['zagzikina'],['s'],bo.
zalipa,"['zalipa', 'lazipa']",['s'],s.
zanzan,"['zaŋzan', 'saŋsaŋ']",['adj'],ss.
zas,['zas'],['adv'],amz.
zharpi,"['žarpi', 'žirpi', 'žarpi', 'žarpa']",['s'],maíz de tusa fina con grano abundante.
zharu,['žaru'],['s'],ca.
zhilik,['žilik'],['adj'],ss.
zhiripi,['žiripi'],['s'],ss.
zhuta,['žuta'],['s'],ca.
zinzin,['zinzin'],['adj'],ss.
zipi,['zipi'],['s'],ss.
zirka,"['zirga', 'řizka', 'řirka']",['s'],ss.
zullu,"['zulyu', 'žuyu', '']",['s'],amz.
zupu,['zupu'],['s'],ss.
