word,variant_forms,abreviaturas,translation_value
yawri,['yawri'],['s'],"aguja, dardo. Sirankapak rurashka sikipi hutkuyuk hillaymi. Llikirishkataka yawriwan sirakuni."
yaya,['yaya'],['s'],"papá, padre, tayta; semental. Taytata ninkapak shimi. Ñuka yaya rimashkata katirkani."
yaykuna,"['yaykuna', 'ikuna', 'waykuna']",['v'],"en- trar. Kanchamanta ukuman churay, satiy. Waka hutkuman hampinata yachankapak yaykurkani."
yayu,['yayu'],['s'],"amz. variedad de pez. Shuk yana, raku challwa. Raku yayutami kunanka hapishka. yayuna [yayuna] v. sc. inseminar, polinizar. Karipa yumanata imawanpash warmipa wa- wamama ukupi churana; yurapa sisa muyuta chaysamillatak yurapa sisapi hichachina. Shuk llaktakunapika warmi wakrakuna chi- chuchunka yayunmi. 2. v. bo. arrojar. Imatapash pakllaman shitay. Llama wanuta papa chakrapi yayurkani. yuksi [yukzi] s. cc. arena fina. Wayrapi pa- wariklla allpa, yapa ñutu rumi allpa. Mayu manyapimi yuksi allpaka tiyan. Sin. Tiyu."
yukuna,['yukuna'],['v'],"amz. copular, hacer el amor, tener relaciones sexuales. Shuk kari paypa ulluta warmipa rakapi satiy. Wamrarak kashkmanta mana yukunchu. Sin. Upina, yumana, rurana."
yumana,['yumana'],['v'],"s. hacer el amor, tener relaciones sexuales, copular. Shuk kari paypa ulluta warmipa rakapi satiy. Machashka kashpaka mana yumanachu. Sin. Upina, yukuna, rurana."
yunkarak,['yuŋgarax'],['s'],sn. papa rojiza. Shuk puka karayuk papa. Chishipi mikunkapak yunkarak papata ya- nunki.
yupay,['yupay'],['s'],"número. Imakunatapash yupankapak killkashkakuna. ¿Ima yupaytatak killkana kanchik?. yupana [yupana] v. contar, enumerar. Mas- hna runa, mashna wiwa, mashna muyu,    YUPAYCHANA mashna yura, mashna imatapash rikuy. Shukmanta patsakkama yachashkata yupar- kani."
yupaychana,['yupayčana'],['v'],"agradecer; honrar. Shuk runa imatapash karakpi, sumak shimiwan rantipay. Ñukata yanapashkamanta achkatami kan- taka yupaychani."
yupi,['yupi'],['s'],"rastro, huella, pisada. Ima pu- rishkata riksinkapak tarinkakama rikuy. Tutapi shuk llamata hillu allku mikushka, chayta yupita rurakunchik. Sin. chaki kati, sarushka."
yura,"['yura', 'yula', 'ruya']",['s'],"árbol, mata, planta, vegetal. Pankakunata charik kirukuna. Kishwar llullu yurata tarpurkani."
yurak,"['yurax', 'yurag', 'yurug']",['adj'],"blanco. Ñu- ñushina rikurik tullpu. Kaynaka yurak millmata ruturkani. yurak shunku [yurak šunku] s. pulmón. Kawsakkunaman samayta chaskik. Yurak shunkupi chiri ama yaykuchunka washata allitapacha killpanchik. Sin. paruk, surkan."
yurimawas,"['yurimawas', 'yurimas']",['s'],"amz. plátano maqueño. Raku, mana yapa suni, hatun uma tukuk uki tullpuyuk palanta. Kayaka yurimawas palantata tarpuna kanchik. yutsu [yutsu] s. amz. árbol de corteza me- dicinal. Shuk ñañu pankayuk sumakta sisak, yaku manñapi wiñak raku yura, karaka ham- pimi kan. Yutsupa karawanmi hampirkani."
yutu,['yutu'],['s'],"perdiz. Uchpa millmayuk, all- pata purik, waylla lulunta wachak, yunyun yunyun nishpa chishikunapi kaparik hatun pishku. Yutu lulun waylla kashkata riksimuni. Sin. tukilu."
yuturi,"['yuturi', 'yutsuri']",['s'],"amz. hormiga conga. Hatun, yana, paypa sikipi tuksina sin- chi kashata charik, miyutapash charik añanku. Mishki mikunapi yapatami yuturi wiwaka huntashka."
yuyak,"['yuyax', 'yuyak', 'yuyik']",['adj'],"adulto pen- sante. Imatapash taripashka kipa, yuyarishka kipa rimak, ruku runa.   Yuyak runaka mana wawashina imatapash ninachu. Sin. Yuyayyuk, shunkuyuk."
yuyana,['yuyana'],['v'],"pensar. Ama pantan- kapak umawan taripashpa rurana. Kan alli kashkamanta achkata yuyanki. suponer. Yuyarishpalla imatapash niy, rimay, rurana. Paychari chaypi pakashka tantataka mikurka, yuyani."
yuyarina,"['yuyarina', 'yarina']",['v'],"acordarse, re- cordar. Kunkashkakunata yuyaywan mas- kashpa kawsachina. Ñukapa warmitaka karumanta yuyarini. estar pensativo. lmakunapipash yuyashpa tiyay. Imashina shamuk wata llamkanata yuya- rirkanchik."
yuyay,['yuyay'],['s'],"pensamiento, idea, memo- ria. Umawan allita yuyarishpa imatapash rimay. Wakinpi musparishpaka yuyaytapash chin- kachirinllami."
yuyaychinkana,['yuyayčiŋgana'],['v'],perder el conocimiento. Uma takarishpa wañus- hkashina sakirina. Mashika uma takarishpa yuyaychinkan. Sin. Umamuyuna.
yuyayyuk,"['yuyayyux', 'yuyayux']",['s'],"amz. pensante. Imatapash taripashka kipa, yuya- rishka kipa rimak runa. Yuyayyukka mana wawashina imatapash ri- manachu. Sin. Yuyak, shunkuyuk."
yuyu,['yuyu'],['s'],"s. verduras, yerbas comesti- bles; hortalizas. Mikuna kiwa. Uka yuyuta kuyman karankapak apakllami rini. 2. cogollo comestible de las palmeras. Chun- takunapi, kiwakunapi llukshik mikuna llullu panka. Chunta yuyuta pitishpa mikunata rurashun. Sin. 1 kiwa."
yuyuna,['yuyuna'],['v'],"amz. descogollar pal- meras. Chuntamanta, taraputumanta, ku- nampumanta, shiwamanta, chillimanta yuyuta mikunkapak surkuy. Tukuy chuntatami yuyunkichik."
