word,variant_forms,abreviaturas,translation_value
warkuna,['warkuna'],['s'],colgar.
warmi,['wami'],['adj'],"mujer, hembra."
warwar,['warwar'],['s'],s.
washakuna,['wašakuna'],['v'],"sumergirse, hundirse."
wasi,['wasi'],['s'],"casa, vivienda."
wasipunku,['wasipuŋku'],['s'],s.
waska,['waska'],['s'],soga.
wata,['wata'],['s'],año.
watana,['watana'],['v'],"amarrar, maniatar."
watu,['watu'],['s'],s.
watuna,['watuna'],['v'],adivinar.
waturitu,['waturitu'],['s'],amz.
wawki,"['wawki', 'wuki', 'wawke']",['s'],hermano de hermano.
wayka,['wayka'],['det'],s.
waykana,['waykana'],['v'],s.
wayku,"['wayku', 'wayko']",['s'],"quebrada, ba- rranco Tuñirishpa uray pukru tukushka allpa."
waylla,['waylya'],['adj'],verde.
wayra,['wayra'],['s'],viento.
wayrana,['wayrana'],['v'],contraer “el mal aire”.
wayru,['wayru'],['s'],hueso de juego en vela- ciones.
wayta,['wayta'],['s'],"clavel, flor."
waytana,['waytana'],['v'],nadar.
wayunka,"['wayuŋga', 'wayuna']",['s'],atado de frutos que se cuelgan en el interior de las vi- viendas.
wayunkana,"['wayungana', 'wayuŋgina']",['v'],s.
wayuri,['wayuri'],['s'],amz.
wazik,['wazix'],['s'],sc.
wichi,['wiči'],['s'],scs.
wichkana,"['wičkana', 'wičikana', 'wiškana', 'wičana', 'bičana', 'ičkana']",['v'],"cerrar, encerrar."
wiki,"['wiki', 'biki', 'irki', 'wirki']",['s'],lágrima.
wikiyana,['wikiyama'],['v'],lagrimear.
wiksa,"['wixsa', 'wiksa', 'wigsa', 'bixsa', 'ixsa']",['s'],"barriga, vientre, estómago, abdómen."
wiksayuk,"['wigsayuk', 'bixsayux']",['adj'],"en cinta, embarazada, preñada."
willak,"['wilyak', 'wižak', 'bilyak', 'bižak']",['s'],infor- mante.
willana,"['wilyana', 'wižana', 'bilyana', 'bižana']",['v'],"avisar, informar, advertir, declarar."
winkanas,['wiŋkanas'],['s'],amz.
winku,['wiŋku'],['adj'],encorvado.
wipala,['wipala'],['s'],"bandera, emblema del Tawantin suyu."
wira,"['wira', 'bira', 'ira']",['s'],"manteca, aceite, grasa."
wirakchuru,"['wirakčuru', 'virakčuru']",['s'],huirac churo.
wirakucha,"['wirakuča', 'virakuča', 'wiraxuča']",['s'],divinidad del incario.
wirakwirak,['wirakwirax'],['interj'],sc.
wiriwiri,['wiriwiri'],['s'],amz.
wiru,"['wiru', 'biru', 'iru']",['s'],caña.
wishinka,"['wišiŋga', 'išiŋga', 'wišina']",['s'],amz.
wisiyana,"['wisiyana', 'wisyana']",['v'],scs.
wistu,"['wistu', 'wištu', 'wiksu', '']",['adj'],"encorvado; deforme de la boca, torcido, baldado."
wistuna,"['wistuna', 'istuna', 'wištuna', 'ištuna']",['v'],s.
witayana,"['witayana', 'itayana']",['v'],amz.
wituk,"['witux', 'itux']",['s'],amz.
wiwana,"['wiwana', 'wibana', 'uyway']",['v'],amz.
wiñachik,"['wiñačix', 'wiñačik', 'wiñačig', 'biñačix', 'iñačix']",['adj'],adoptivo.
wiñachishka,"['wiñačiška', 'biñačiska', 'iñačiška']",['s'],adoptado.
wiñay,['wiñay'],['adv'],siempre.
yachachik,"['yačačix', 'yačačig', 'yačači']",['s'],"profesor, maestro, educador, docente."
yachak,"['yačak', 'yačax', 'yačag', 'yača']",['s'],"sabio, cococedor."
yachakuna,"['yačakuna', 'yačaxuna', 'yača-\nguna']",['v'],"estudiar, aprender."
yachana,['yačana'],['v'],saber.
yacharina,['yačarina'],['v'],"acostumbrarse, en- señarse, habituarse."
yachay,['yačay'],['s'],"sabiduría, inteligencia, juicio, razonamiento."
yachik,['yačix'],['s'],amz.
yachina,['yačina'],['v'],amz.
yakuyachina,['yakuyačina'],['v'],"desleír, di- solver, diluír."
yalli,"['yalyi', 'yaži', 'yali']",['adv'],"demasiado, demás, en exceso, excesivamente."
yallika,['yalyika'],['s'],amz.
yallina,"['yalyina', 'yažina']",['v'],"pasar, exceder, sobrepasar."
yami,"['yami', 'yakami']",['s'],amz.
yana,['yana'],['adj'],"ayudante, criado, servidor, sirviente."
yanka,['yaŋga'],['adv'],"gratuitamente, de balde."
yankata,['yaŋgata'],['adv'],"de balde, en vano, sin motivo."
yanta,['yaŋta'],['s'],leña.
yantana,['yaŋdana'],['v'],"hacer leña, leñar, ir a buscar leña."
yanuna,['yanuna'],['v'],cocinar.
yapa,['yapa'],['adv'],"demasiado, mucho, muy."
yapachina,['yapačina'],['v'],amz.
yapana,['yapana'],['v'],"aumentar, agregar."
yapay,['yapay'],['s'],suma.
yapuna,['yapuna'],['v'],s.
yarkana,['yarkana'],['v'],tener hambre.
yata,['yata'],['s'],"terreno pisoteado de anima- les, paredes de una casa abandonada."
yawar,"['yawar', 'raway']",['s'],sangre.
yawari,['yawari'],['s'],na.
