word,variant_forms,abreviaturas,translation_value
shukkuna,['šux'],['s'],"unidades. Ima kashpa-shunkuchinchik.  SHUYU  pash shuk shuklla iskunkama yuparik. Kay pankapi shukkunata killkashunchik. shukarina [šukarina, čukarina] v. atrancar. Imatapash mikushpa harkariy. Yachakukka challwata mikukushpami shuka- rirka. 2. hincharse. Yallikta mikushpa wiksa punkis- hkashina tukuy. Yapa chirita yallishpami wiksa shukarishka. Sin. 2 Punkina."
shuklla,"['šuklya', 'šukža']",['adj'],"único. Shuk runa, imakunapash sapalla kak. Ñukapa shuklla churika karu llaktamanmi rirka. Sin. Chulla."
shulla,['šulya'],['s'],"rocío, escarcha. Tutamanta shuk tamyashina urmak. Shulla kiwata mikushpa wiwakunaka wiksa punkishpa wañunkuna. Sin. sarpa."
shullana,"['šulyana', 'šužana']",['v'],caer el rocío. Tutapi amsalla tamyashina urmay. Puyu pachamanta tamyarikshina sisakunapi shullan. Sin. sarpana.
shulluy,"['šulyuy', 'šužuy']",['s'],"aborto. Shuk wawa manarak puncha paktashkapi llukshiy. Warmikunapa shulluyka mana allichu, lla- kimi kan. 2. v. abortar. Chichu kashpa manarak pun- cha paktakpi wacharina. Imatapash munashpa wakin warmikunaka shullunllami."
shunku,"['šungu', 'šungo', 'sunko']",['s'],"corazón. Tukuy runakunapa, wiwakunapa yawarta rakik aycha. Imamantapash yalli piñarikpika shunkuka nananllami. 2. médula de vegetales, el núcleo o el centro de objetos. Tukuy yurakunapa, rumikunapa chawpi ukupi tiyak. Kapuli shunkuwan awana kaspita rurakuni. Sin. 1 Puka shunku."
shunkuchina,['šunkučina'],['v'],"curar del es- panto. Ima unkuykunata, mancharishkaku- nata anchuchishpa hampina. Wawataka manchariy unkuywan kakpimi"
shunkuy,['šuŋguy'],['v'],"s. desayunar. Tutamantapi mikuy, mayllak shunkupi mikuy. Achka karu purinaman rina kashkamantami alli shunkunchik. Sin. Pakarimikuna, chinchina."
shunkuna,['šuŋguna'],['v'],"amz. indicar, seña- lar. Ama pantachun, kashna ruranki nishpa shukta yachachiy. Payka ñukapa wasiman paktamushkallami pitakshi alli shunkuchishka."
shunkuyuk,['šunguyuk'],['adj'],"adulto, pen- sante. Alli yuyak runa. Paya ushushika ña shunkuyukmi kan. Sin. Yuyayyuk, yuyak."
shushuna,['šušuna'],['s'],cedazo. Huku huku- yuk rurashka hillay. Ñukaka shushunapimi kutata shushukuni. shushuna [šušuna] v. cernir. Ima kutaman- tapash palakta llukshichiy. Sara kutata shushukuni.
shuti,['šuti'],['s'],"nombre. Runakunata, llak- takunata imashina rimanata yachay. Kay allkuka ¿ima shutiyuktak kan?"
shutu,['šutu'],['s'],gota. Ima huku kashpapash wikishina talliriy. Hampimantaka ishkay shutullatami upyan. Sin. Wiki.
shuturina,['šuturina'],['v'],"mojarse. Ima yakupi, tamyapi mutiyay. Tamyapimi shuturirkani. Sin. Hukuna, mutiyana."
shutuna,['šutuna'],['v'],"filtrar, gotear, chorrear. Yaku kashpa, mikuna kashpapash hicharis- hkashina urmay. Mawka wasimanta tamya yakuka shutun. shuwa [šuwa, šua] s. ladrón. Shukpa ima- kunatapash hapishpa apak. Tawka shuwami ñukapa wasiman yaykurka. shuwana [šuwana] v. robar. Shukpa ima charishkakunata apay. Chakrata chapakpika mana shuwankuna- chu."
shuyana,['šuyana'],['v'],"esperar,  aguardar. lmatapash chapay. Tukuy llama chayamuchun shuyakuni. shuyu [šuyu] s. dibujo, cuadro. Pankapi, kaspipi, karakunapipash tullpukunawan ha-    SHUYUNA wishkakuna. Wawakunaka shuyuta ruranmi."
shuyuna,['šuyuna'],['v'],manchar. Imakunata- pash mapayachiy.   Pirkapi shuyunki. 2. dibujar. Llimpiwan rikuchiy. Tránsito Amaguaña warmita shuyushun. Sin. 1 Llunchina; 2. llimpina.
takallina,"['takalyna', 'taxažina', 'taxalina']",['v'],s. ceñir de forma cruzada. Shukpa ukunpi ima- tapash chimpakta watay. Ñustakunataka ñami takallikun.
takarina,['takarina'],['v'],"rozarse, golpearse, tropezarse. lmapipash waktariy. Yayaka shinka shamukushpa yurapi chakita takarirka. Sin. Waktarina."
takarpu,['takarpu'],['s'],"estaca; clavo. Ñañu chupayuk, satina kaspi. Wakrataka takarpupi watarkani."
takana,['takana'],['v'],"machacar, pedacear, martillar. Imakunatapash waktashpa ñutuya- chiy. Aswata rurankapak lumuta takakuni. 2. sc. afilar. Imatapash kuchunkapak antaku- nata llampuyachiy. Kiwata pitinkapak kuchunata takak riy. Sin. 1 Waktana."
taki,['taki'],['s'],"canción, pieza musical. Uyay- pak, tushuypak, sumaklla uyarichiy. Siku anka nishkatami takirkani."
taki,"['taki', 'take']",['s'],troje. Muyukunata wakaychinkapak rurashka kincha. Papata takipi wakaychirkani.
takina,['takina'],['v'],"entonar un instrumento musical. Pinkulluta, churuta, imatapash pu- kushpa sumakta uyachiy. Tantanakuyman kayashpa kachupi takini. 2. cantar . Shimiwan rimashpa, kinkuchishpa sumaklla uyachiy. Hachi yayami arawitaka sumaktami takirka. takla [taxla] adj. amz. flojo. Shuk yapa hatun churay, churarikpi mana allita rikurik. Kay waraka taklami sakirin."
taklla,['taxlya'],['s'],"arado. Yapuykunapi allpata chiktak, suni anta muyuk. ¿Takllatachu rantikunki?"
takllana,['taxlyana'],['v'],"amz. ajustar. Imata- pash, imapipash sinchi sinchi watay, llapiy, churaypashmi kan.  Kay muchikuta takllapay."
takllu,['taxlyu'],['adj'],"tartamudo. Shuk mana al- lita rimak, harka harkalla rimak runa. Takllu wawaka harkarishpami riman. Sin. Taytiw, tiyarpa."
