word,variant_forms,abreviaturas,translation_value
almayari,['almayari'],['s'],amz. | almayari
amakulu,"['amagulu', 'amalu']",['s'],sn. | amakulu
amankay,"['amankay', 'amankaya']",['s'],"lirio, azucena. | amankay"
amaru,"['amaru', 'amarun']",['s'],boa. | amaru
amatak,['amatak'],['adv'],sn. | amatak
amawta,"['amauta', 'amawtax']",['s'],"sabio, cien- tífico del incario. | amawta"
amina,['amina'],['v'],"hastiar, empalagar, hartar. | amina"
aminta,['amiŋda'],['adj'],sn. | aminta
ampuku,['aŋbuku'],['interj'],expresión que de- nota ironía (no friegues). | ampuku
amullina,"['amulyina', 'amužina', 'amulina']",['v'],engullir; traer algo en la boca. | amullina
ana,['ana'],['s'],lunar. | ana
anak,['anak'],['adj'],duro. | anak
anaku,['anaku'],['s'],"saya, falda. | anaku"
ananas,"['ananas', 'anunas']",['s'],amz. | ananas
anchayana,['aŋchayana'],['v'],s. | anchayana
anchurina,['aŋčuna'],['v'],"retirarse, apartarse, quitarse. | anchurina"
ankara,['aŋgara'],['s'],snc. | ankara
anku,['aŋgu'],['s'],"vena, arteria; raíz. | anku"
ankulla,"['aŋgulya', 'aŋguža', 'angura']",['adj'],cau- choso; enserenado. | ankulla
anta,['aŋta'],['s'],"cobre, meta; fierrol. | anta"
antawa,"['aŋtawa', 'antawiwa']",['s'],"carro, vehì- culo. | antawa"
anti,"['aŋti', 'andi']",['s'],"regiòn oriental; oriente, este. | anti"
antuchi,['aŋduči'],['s'],amz. | antuchi
apachi,['apači'],['s'],"carga, maleta. | apachi"
apachina,['apačina'],['v'],hacer cargar. | apachina
apamuna,['apamuna'],['v'],traer. | apamuna
apapa,['apapa'],['s'],amz. | apapa
aparina,['aparina'],['s'],manta para cargar. | aparina
apay,['apay'],['s'],"paquete, bulto. | apay"
apichu,['apiču'],['s'],camote. | apichu
apiw,"['apiw', 'apyu', 'abiu']",['s'],caballo. | apiw
apiyana,['apiyana'],['v'],suavizarse. | apiyana
apu,"['apu', 'apux', 'apug', 'apuk']",['s'],"jefe, sobe- rano, autoridad. | apu"
apunchik,"['apunčik', 'apunči']",['s'],nuestro dios; Jesús. | apunchik
ara,['ara'],['s'],sc. | ara
araw,['araw'],['s'],amz. | araw
arawikuk,"['arawik', 'arawikuk']",['adj'],poeta. | arawikuk
ari,['ari'],['adv'],si. | ari
arina,['arina'],['v'],estrenar; impermeabilizar. | arina
armana,['armana'],['v'],bañar. | armana
ashalla,"['ašalya', 'ašala']",['adv'],muy poquito. | ashalla
ashi,['aši'],['adj'],s. | ashi
ashnak,"['ašnax', 'asna', 'ašnak', 'asnak', 'ašnag', 'asnag']",['adj'],oloroso (agradable o desa- gradable). | ashnak
ashnana,"['ašnana', 'asnana']",['v'],oler. | ashnana
ashtana,"['aštana', 'astana']",['v'],"acarrear, tras- ladar, transportar. | ashtana"
asina,['asina'],['v'],"reir, burlar. | asina"
aspi,['aspi'],['s'],raya. | aspi
aspina,['aspina'],['v'],"raspar, arañar, escarbar, rascar, firmar. | aspina"
aswa,"['aswa', 'asa', 'asuwa']",['s'],chicha. | aswa
atakapi,['atakapi'],['s'],variedad de boa gi- gante. | atakapi
ataku,['ataku'],['s'],ss. | ataku
atallpa,"['atalypa', 'atalpa', 'atažpa', 'atawallpa', 'atapa', 'ataba', 'atiža', 'atilpa', 'atilba', 'atilypa', 'atulba', 'atil']",['s'],snc. | atallpa
atatay,['atatay'],['interj'],expresión que denota asco. | atatay
añanku,"['añaŋgu', 'añiŋgu']",['s'],hormiga. | añanku
añas,"['añas', 'añaŋgu', 'añiŋgu']",['s'],zorrillo. | añas
