word,variant_forms,abreviaturas,translation_value
atina,['atiy'],['v'],"vencer, poder, sobresalir. Ut- kalla imatapash mishashpa rurana. Utkashun nishpa payta llankaypi atirkani. porfiar, exigir, insistir, apurar, prevalecer. Mañashka kipa, mana utka tukuchikpi kutin mañana. Kanka, ¿ima nishpatak atikunki? sc. hablar demasiado.Yapata rimana. Payka imata rimashpapash atikunmi. Sin.1 Mishana; 2 utkana."
atsikyana,"['atsikyana', 'atsiyana']",['v'],"estornu- dar. Sinka uku shikshikpi atsik niy. Allpa haku sinkaman yaykushkamanta, payka atsikyan."
atuk,"['atux', 'atug', 'atuk', 'atu']",['s'],"S. lobo. Al- lkushina rikurik: waykupi, kakapi, chiri urkupi kawsak wiwa. ATUK SARA Atukka puka atallpata hapishka. atuk sara [atux sara] s. maíz silvestre. Puka tulluyuk takshanapak muyuta aparik kiwa. Warata atuk sara muyuwan takshani. atupa [atupa] s. s. maíz plagado.Yana ku- tawan chakrurishpa ismushkashina tukushka sara. Kunanpika chukllukunapash atupami tukun. s. vieja. Atupa warmi, paya warmi. Kanka atupa warmishinami mana kallpanata ushanki. ss. necio. Mana imatapash uyak. Atupa kashkamanta yachakukta kamirka. Sin. 2 Paya; 3 uparinri."
atyak,"['atyak', 'atyag', 'atiax']",['s'],"babosa. Chaki illak	wiwa,	llukashpalla	pampakunapi llawsata sakishpa purik kuru. Tamya pachakunallapimi ashtawan atyakku- naka rikurin. Sin. Unik."
awana,['awana'],['v'],"tejer. Churanakunata, imakunatapash achka puchkata chimpachis- hpa rurana. Maykankunaka chumpikunata awan. v. amz. Poner cubierta a la casa. Ñukapa wasita wayuriwan awarkani. v. amz. Hacer objetos de barro. Manka all- pawan kallanata ruray. Anti   suyupika   shinami	mukawatapash awanchik."
awanakaspi,['awanakaspi'],['s'],"s.	telar. Chakatashpa rurashka kaspi. José awanakaspipimi makanataka awan. awasi [awasi, agwasi] adj. amz. inepto en la caza y pesca. Wiwata, challwatapash mana hapinata ushak runa. Chay karika awasimi rikurin."
awinchina,"['awinčina', 'awinžina']",['v'],"ss. re- sembrar. Mana wiñashkakunapi kutin tarpuy. Sarata kaspiwan utkushpa awinchinki. 2. rellenar. Allpawan, imawanpash chushakkunata huntachina. Yachakukka shuyukunata awinchin. Sin. 1 Katichina, 2 huntachina."
awka,"['awka', 'awkak']",['adj'],"guerrero, militar, soldado. Ñawpamanta pacha sinchi runa, mi- llay, makanakuk runa. Rumi ñawika sinchi awkami karka. 2. persona inadaptable a las costumbres de un pueblo. Mana llaktakunapi yacharik runa. Payka kay llaktapika awkami kan. Sin. 1. makanakuk."
awki,['auki'],['adj'],"príncipe, persona noble; sa- cerdote; divinidad. Ñawpa pachapi ushayyuk runa. Ataw wallpaka awkimi karka."
awkish,['aukiš'],['s'],comida ritual de los fune- rales. Runa wañuypi chakrushka mikuna- kuna. Awkish mikunata ruraytami yachani. awkish [aukiš] s. danza del año nuevo. Mushuk watapi tushuna. Runaka awkishta tushun.
awlakanu,"['awlaxanu', 'alwaxanu', 'alwakanu']",['s'],sc. repartidor de alimentos en las fiestas. Raymipi mikunata rakik. Churi sawarikpika awlakanukuna mikunata rakirka. Sin. Mulumasha.
awllina,"['awlyina', 'awžina', 'alwina']",['v'],s. urdir. Churanata awankapak puchkakunata kaspipi allichina. Yachakuk puchkata awllin. Sin. allwina.
aya,['aya'],['s'],"cadáver. Wañushka runa. Kaynaka ayata wantushpa aparkachik. fantasma, espíritu; poder, fuerza. Chawpi tuta unkushkapa ñawipi runashina rikurik. Runa yuyaypi manchachishpa purik. Uchilla wamrataka ayami manchachishka. silvestre. Imapash mana tarpushpa wiñak. Aya kiwaka achkata wiñanllami. Sin. 1. wañuska; 2. ushay, kallpa, samay; 3 sacha."
ayampakuna,"['ayampakuna', 'ayumphakuna']",['v'],"amz. snc. sancochar, soasar. Hawa hawalla yanushka- kuna, kusashkakuna ruray. Ñanpi mikunkapak challwata ayampa- kunchik. Sin. Hawchana."
ayapampa,"['ayapamba', 'ayapampa']",['s'],"ce- menterio, panteón. Wañushka runapa ay- chata pampana. Tukuy runakunami ayapampapi ayak AYSANA ayar (<*ayar) s. noviembre. Chunka shuk- niki killa. Ayar killapika aya pampaman wañushkaku- nata rikunkapak yuyarinkapakpash rinchik. aycha [ayča] s. carne. Runakunapa, wiwa- kunapa tukuy ukku. Ñukaka challwa aychatami kusakuni. 2. cuerpo. Kawsakkunapa ukku. Tukuy aychami nanawan. Sin. 2 Ukku."
ayki,['ayki'],['s'],bo. estafa. Imatapash uma- chishpa kushka. Kachita rantikukpi aykita rurarka.
aykina,['aykina'],['v'],"bo. estafar. Imatapash umachina. Kachita rantikukpi kullkita aykirka. Sin. Umachina, muspachina."
ayllu,"['aylyu', 'ayžu']",['s'],"familia, pariente, linaje, genealogía; sistema. Yaya, mama, churi- kuna, hachi, hatunyayamama tantalla kaw- sakkuna. Kay punchakuna ayllukunata muyunkapak ayllu llakta [aylyu lyakta] s. comunidad. Ayllupura, mashipura tantakushpa kawsana suyu. Runakunaka ayllullaktata charinchik. ayllu shuti [aylyu šuti, ayžu šuti] s. apellido. Yayamamamanta chaskishka, mana chinkar- ishpa katimuk shuti. Ñukapa mashipa ayllushutika “Pichisakami” kan. aymuray (<*aymuray) s. mayo. Pichkaniki killa. Aymuray killapika llamkakpa punchami kan. ayri [<*ayri] s. hacha. Millashpa wañuchinkapak hillay. Ayriwan yantata chiktani. ayriwa (<*ayriwa) s. abril. Chuskuniki killa. Ayriwa killapika achkata tamyan."
aysana,['aysana'],['v'],"halar, extender, estirar, deslizar, arrastrar. Imatapash makiwan chu- tay. Mamaka makimanta wawata aysarka. Sin. Chutana, shitana."
chachina,['čačina'],"['v', 's']","sentarse los niños. Maypipash wawakuna tiyarina. María wawaka puñunapimi chachin. chaka [čaka] s.	puente. Mayu hawata chimpankapak kaspikunawan, mana kas- hpaka rumi-kutawan rurashka ñan. Yachakuk wawakunaka chakatami yallin. 2. cadera, anca. Runapa washa tulluwan is- hkantin chankawan tinkichik siki tullu. Payka chaka tullutami nanachikun. chakana [čakana] s. camilla. Kawitushina wañushkakunata,	unkushkakunatapash wantunkapak rurashka. Unkushka mashita chakanapi aparkanchik. 2. s. escalera. Ishkay suni kaspipi kinrayman tawka uchilla kaspikunata watashka. Yuramanta palltata	hapinkapakka hatun chakanatami ruranchik."
chakata,['čakata'],['s'],cruz. Shayak kaspipi umaman kinray watashka kaspi. Ayapampapika achka chakatami rikurin. chakatana [čakatana] v. entrecruzar; en- trelazar; crucificar. Ishkay kaspita chawpipi chimpachina. Juan mashika wasi hawapi kaspikunata cha- katan. Sin. Waskachina.
chakchuna,"['čaxčuna', 'čakčuna', 'čagčuna']",['v'],"s. descomponer, regar, botar, esparcir agua o granos. lmatapash karu karupi shita- na. Pichankapak ama allpa hatarichunka yaku- wan chakchun. 2. v. hacer algo a escondidas. Imatapash pa- kalla rurana. Churika mana chariymanta yayapa ruwanata raymiman chakchun. Sin. 1 Hichana, chiwana, shitana, tallina, par- kuna."
chaki,['čaki'],['s'],"pie, pata. Runakuna, wiwa- kuna purinkapak mutsurik ukku. Tiyu allpata sarukpi chaki pamparirka. chakichina [čakičina] v. secar. Ima shutus- hkata, hukurishkatapash intipi churana. Hura sarataka aswankapak sumaktami cha- kichin. chaki chichu [čaki čiču] s. pantorilla. Ru- nakunapa kunkuri washa uraypi sakirik ay- chasapami kan. Mamapa chaki chichupi chupu llukshishka. chaki kati [čaki kati] s. rastro, huella, pi- sada. Ima purishkata riksinkapak tarinka- kama rikuy. Tutapi shuk llamata hillu allku mikushka, chayta chaki katita rurakunchik. Sin. Yupi, sarushka."
chakka,"['čaxa', 'čaga']",['s'],"amz. variedad de raposa. Uchilla añasshina, ashnak yakuta is- hpak. Millay chakkaka atallpa lulunta mikurka. Sin. chucha, sinik."
chaklla,"['čaglya', 'čagža']",['s'],"s. palos y carrizos utilizados para cubiertas y paredes de casas, corrales y cercas. Wasita katankapak, pirkankapak sukuskunata, kaspikunawan watashka. Ñawpa wasikunaka sukus chakllawan ru- rashkami kan."
chakmana,"['čakmana', 'tsakmana']",['v'],"bo. cul- tivar la tierra para sembrar; virar la tierra con el azadón. Llachuwan allpata ukumanta ha- waman tikrachiy. Yana allpapi papata tarpunkapak chakmani. chakmay (<*čakmay) s. agosto. Pusakniki killa. Chakmay	killapika,	Sallka	suyupika yachakuk wawakunaka sumakta samakun. chaknana [čaknana, tsaknana] v. maniatar, amañar, amarrar, liar, atar pies o manos. Maykantapash chakita makita waskawan watana. China wakrata ñuñuta kapinkapakka chakita chaknanchik."
chakra,"['čakra', 'čagra']",['s'],"sementera, chacra. Muyukunata tarpushka pampa. Tukuy ayllumi sara chakrata hallman. chakrana [čakrana, čagrana] v. s. cultivar, preparar la tierra para la siembra. Allpamanta mapa kiwakunata anchuchishpa allichina. Sarata tarpunkapak allpataka wanuwanmi alli chakranchik. 2. s. recoger los primeros frutos de la semen- tera. Pukuy kallarik mushuk murukunata cha- kramanta pallana. Yayaka mushuk kapuli murukunata chakran. chakruna [čakruna, čagruna] v. mezclar, combinar. Imatapash shukkunawan cha- puna. Alli mikuyta charinkapakka tukuy sami muru- kunatami chakrun. Sin. Chapuna."
chakuk,['čakuk'],['s'],"cazador. Imatapash hapik. Yayaka alli chakuk kashpa, lumukuchita ha- pirka."
chakukina,['čakukina'],['v'],emitir sonidos los cerdos al masticar. Kuchikuna mikunakunata akuna. Kuchiman ismu sarata karakpika achkatami chakukin.
chakuna,['čakuna'],['v'],"ss. desmontar, cazar Allpakunata allichina, aya kiwakunata anchu- china. Muyukunata   tarpunkapakka   allpatarakmi chakun."
challa,"['čalya', 'čala']",['s'],ss. Planta seca del maíz; productos o granos que se quedan después de la cosecha. Murukuna pallas- hkapi sakirishka. Papa allaypika challa sakirinmi.
challana,"['čalyana', 'čalana']",['v'],"ss. recoger granos o residuos de cosechas. Murukuna pallay kipa puchushkakunata tantachina. Wamrakunaka uchilla papataka achkatami challan. Sin. Chukchina, challina."
challchina,['čalyčina'],['v'],"sc. rasgar, peda- cear la ropa. Ima churanakunapash llikina. Wawaka pukllaymanta warata challchirka. Sin. Llikina, chillpina."
challina,"['čalyina', 'čažina']",['v'],"s. recoger resi- duos de cosechas. Murukunata pallay washa puchushkakunata tantachina. Ayllullakta wamrakunaka papata challin. 2. v. descarriarse. Maytapash riklla. Ayllu wakllirikpika wawakunaka challin. Sin. 1 challana, chukchiyna"
challun,"['čalyun', 'čalun']",['s'],"amz. variedad de mosquito. Uchilla puka chuspi. Aswa mankapi, mishki mikunakunapipash tantarik. Aswa hamchipika achka challunmi tiyarinata munan."
