word,variant_forms,abreviaturas,translation_value
chanka,['čaŋga'],['s'],pierna; muslo.
chankana,['čaŋgana'],['v'],"entrecruzar las piernas, sujetar con las piernas."
chantasu,"['čantasu', 'čantazu']",['s'],sc.
chapa,['čapa'],['s'],amz.
chapak,['čapak'],['s'],"vigilante, policía, agente, detective."
chapana,['čapana'],['v'],"espíar, mirar, obser- var."
chapul,['čabul'],['s'],mariposa.
chapuna,['čapuna'],['v'],"mezclar, hacer masa, hacer barro; desordenar, confundir, desigua- lar."
charina,['čarina'],['s'],scs.
charki,"['čarki', 'tsarki', 'žarki']",['s'],scs.
chas,['čas'],"['s', 'ca']",brote de semillas caídas en las sementeras.
chaska,['časka'],['s'],planeta Venus.
chaski,['časki'],['s'],"mensajero, correo."
chasu,"['času', 'čazu']",['adj'],ss.
chawa,['čawa'],['adj'],"crudo, semi cocido."
chawamanku,['čawamanku'],['s'],amz.
chawana,['čawana'],['v'],"ordeñar, exprimir, es- currir."
chawcha,['čawča'],['adj'],"delicado, dulce, sa- broso; que madura o se cocina rápido."
chawpi,"['čawpi', 'čawbi']",['det'],"mitad, medio, centro."
chay,"['čay', 'čiy']",['det'],"ese, eso, esa."
chayamuna,['čayamuna'],['v'],llegar.
chaymanta,"['čaymanta', 'čaymanda', 'čay- munda']",['adv'],"de ahí, después."
chayrak,"['čayrak', 'čayrig']",['adv'],"todavía, aún."
chañawi,['čañawi'],['s'],amz.
chi,['či'],['expresión para ahuyentar o adelantar a los animales'],Wakin wiwakunata man- chachinkapak kaparina shimi.
chichiku,['čičiku'],['s'],amz.
chichu,['čiču'],['adj'],"encinta, embarazada; preñada."
chichuyana,['čičuyana'],['v'],embarazarse; preñarse.
chikan,"['čikan', 'šikan', 'čhikan']",['adj'],"aparte, dis- tinto, ajeno."
chikanyachina,"['čikanyačina', 'šikanyačina', 'čhikanyačina']",['v'],"clasificar, separar, apartar, diferenciar."
chikaru,"['čikaru', 'tsikaru']",['s'],amz.
chiki,['čiki'],['adj'],"mal augurio, desgracia, ad- versidad, infortunio, crisis."
chiknina,"['čixnina', 'čiknina', 'čignina', 'tsixnina', 'tsiknina', 'tsignina']",['v'],"snc, amz."
chikta,['čixta'],['s'],"grieta, partido, resquebra- jado, rajado."
chiktana,"['čixtana', 'čiktana']",['v'],s.
chilina,['čilina'],['s'],naranja.
chillchill,"['čilčil', 'čilžil']",['s'],s.
chilli,['čilyi'],['s'],amz.
chillik,['čilyik'],['s'],amz.
chillina,"['čilyina', 'čilina']",['s'],médula.
chilliwakan,"['čilyiwakan', 'čiwalkan']",['s'],sn.
chillka,"['čilyka', 'čilka']",['s'],Arbusto ramoso co- nocido como chilca.
chimpalu,"['čimbalu', 'tsimbalu', 'simbalu']",['s'],ss.
chimpana,"['čimbana', 'čimbana', 'šimbana', 'čiŋbana']",['v'],cruzar.
chimpi,"['čimpi', 'čimbi', 'čiŋbi']",['s'],sc.
chimpilaku,"['čimpilaku', 'čimbilaku']",['s'],amz.
china,['čina'],['adj'],hembra.
chinchay,['čiŋčay'],['s'],norte.
chinchina,"['činčina', 'činlyina', 'činžina']",['v'],ss.
chinina,"['činina', 'tsinina', 'šinina', 'sinina']",['v'],hortigar.
chinkana,['čiŋgana'],['s'],pa.
chinkillis,"['čiŋkilyis', 'čiŋgilis']",['s'],amz.
chinku,['čiŋgu'],['s'],amz.
chinlla,['činlya'],['adj'],amz.
chinlus,['činlus'],['s'],pa.
chinta,"['čiŋta', 'čiŋda']",['s'],amz.
chintana,"['čiŋtana', 'čiŋdana']",['v'],amz.
chipu,['čipu'],['s'],amz.
chirapa,"['čirapa', 'tsirapa']",['s'],"llovizna, lluvia menuda con sol."
chiri,['čiri'],['s'],frío.
chishi,['čiši'],['adv'],tarde.
chita,['čita'],['s'],chivo.
chiwarina,"['čiwarina', 'šiwarina']",['v'],desmoro- narse.
chiwilla,"['čiwilya', 'čiwiža']",['s'],piña.
chiwlli,['čiwlyi'],['s'],amz.
chiya,"['čiya', 'tsiya', 'tsia', 'sia']",['s'],liendra.
chiyun,['čiyun'],['s'],amz.
