word,variant_forms,abreviaturas,translation_value
chanka,['čaŋga'],['s'],pierna; muslo. Kunkuri- manta sikikaman tiyak aycha. Wakra chankata charkishpaka raymipak wa- kaychinkuna.
chankana,['čaŋgana'],['v'],"entrecruzar las piernas, sujetar con las piernas. Pitapash chankawan pilluna. Hatun yuraman sikankapakka chankawan chankani."
chantasu,"['čantasu', 'čantazu']",['s'],"sc. Llama; burro. Ushushina hatun wiwa, apachikunata aparik Chantasu wirawanmi wayrashka unkuytaka hampin. Sin. Llaminku, runallama."
chañawi,['čañawi'],['s'],"amz. variedad de pá- jaro que imita a los demás de su especie. Ya- nawan, killuwan muru pishku, tukuy pishkukunata yachapak. Anti suyupika chañawi pishkuka sumaktami takin."
chapa,['čapa'],['s'],"amz. frutos que crecen pe- gados. Tinkirishpa, llutarishpa wiñak muru- kuna. Kay chapa palantata kuchiman karay. Sin. Misha."
chapak,['čapak'],['s'],"vigilante, policía, agente, detective. Awka runashina, llaktapi kawsak runakunata kamak. Chapakkunaka	millay	runakunamanta kaman."
chapana,['čapana'],['v'],"espíar, mirar, obser- var. Imatapash pakalla rikuna. Ama shuwachunka tukuykuna chapanchik. Sin. Rikuy."
chapul,['čabul'],['s'],"mariposa. Sumak tullpuyuk patak rikra, pawashpa chuspishina purik. Sisa yurakunapika sumaktami chapulkunaka tiyarin. Sin. Pillpintu."
chapuna,['čapuna'],['v'],"mezclar, hacer masa, hacer barro; desordenar, confundir, desigua- lar. Imakunatapash shukwan chakruchina. Ñuñuta, machkawan mikunkapak chapuni. charapa [čarapa] s. amz. variedad de tor- tuga acuática. Yakupi kawsak yawatishina. Charapa wiwaka hatun mayukunapimi kawsan."
charina,['čarina'],['s'],scs. mancera. Yapuna kaspipi shuk uchilla kaspita hapirichun churashka. Alli yapunkapakka sinchi charinatami ru- ranki.
charina,['čarina'],['v'],"sujetar, sostener, tener. Imatapash harkana, hapina. Yayaka   wawa ama urmachun makimanta charin."
charki,"['čarki', 'tsarki', 'žarki']",['s'],"scs. cecina, carne seca. Wiwakunapa chakishka aycha. Charki aychata papawan yanushpa mikuni. charkina [čarkina, tsarkina] v. cecinar, secar carne al sol. Aychata kayman chayman kuchushpa chakichina. Llama aychata sumakta mishkichishpa intipi charkinki."
chas,['čas'],"['s', 'ca']","brote de semillas caídas en las sementeras. Chakrapi urmashka muyu- kuna wiñariy. chas wiñashka papata hallmani. Sin. Ushun, purun, wala, iñil."
chaska,['časka'],['s'],"planeta Venus. Hawa pa- chapi intishina llipyak, tutamantata, chishi- yakpipash rikurik rumpu. Ñawpa pachapika, inkakunaka chaskata muchak karka."
