word,variant_forms,abreviaturas,translation_value
chucha,['čuča'],['s'],raposa.
chuchi,['čuči'],['s'],"pollo, polluelo."
chuchuk,['čučuk'],['s'],mamífero.
chuchuka,['čučuka'],['s'],choclo cocido deshi- dratado.
chukchina,"['čuxčina', 'čugčina']",['v'],recoger re- síduos de las cosechas.
chukchuna,"['čuxčuna', 'čukčuna', 'čugčuna']",['v'],"temblar, tiritar por escalofrío."
chuki,['čuki'],['s'],tipo de arma.
chukirawa,"['čukirawa', 'čukira']",['s'],s.
chuklla,"['čuxlya', 'čuxža', 'čuklya', 'čugža']",['s'],"choza, cabaña."
chukllu,"['čuxžu', 'čuxlyu', 'čuklyu', 'čukžu', 'čugžu']",['s'],choclo.
chukririna,"['čukririna', 'čugririna']",['v'],"lasti- marse, herirse."
chuku,"['čuku', 'čugu']",['s'],ss.
chukuri,['čukuri'],['s'],variedad de comadreja.
chulakyana,['čulaxyana'],['v'],"ampollarse, re- ventarse."
chulla,"['čulya', 'čuža']",['adj'],det.
chullanik,['čulyanik'],['adj'],det.
chullku,"['čulyku', 'čulku']",['s'],s.
chullu,['čulyu'],['s'],amz.
chulunlla,"['čulunlya', 'čulunža', 'čunlya']",['adj'],"si- lencioso, desolado."
chulunyana,['čuluŋyana'],['v'],"callarse, silen- ciarse."
chumpi,"['čumbi', 'čuŋbi']",['s'],"correa, faja, cintu- rón."
chuna,['čuna'],['s'],ss.
chunchu,['čuŋču'],['s'],amz.
chunchulli,"['čuŋčulyi', 'čuŋčuŋži', 'čuŋžulyi', 'ču-\nnčul']",['s'],"intestinos, tripas."
chunta,['čunta'],['s'],chonta.
chunu,"['čunu', 'čuñu']",['adj'],arrugado; papa deshidratada.
chunyarina,['čuŋyarina'],['v'],"callarse, silen- ciarse."
chupana,['čupana'],['v'],sn.
churana,['čurana'],['v'],"poner, colocar, ubicar."
churu,['čuru'],['s'],caracol.
chushak,"['čusax', 'čušak']",['adj'],"estéril, baldío, vacío."
chushik,['čušix'],['s'],s.
chutana,['čutana'],"['v', 'estirar', 'halar', 'extender', 'lanzar']",Imatapash aysashpa wiñachiy.
chutanakuna,['čutaŋakuna'],['v'],amz.
chuti,['čuti'],['s'],amz.
chuwalli,"['čuwalyi', 'čuliwalyi']",['s'],amz.
chuya,['čuya'],['adj'],"limpio, aguado."
chuyaklla,"['čuyaxlya', 'čiyuxlya']",['adj'],"bien ba- rrido, limpio."
chuyan,['čuyan'],['adj'],amz.
hachi,"['xači', 'ači']",['s'],amz.
hakan,['xakan'],['adj'],"brillante, brillo, luminoso, resplandeciente."
haku,['xaku. aku'],['v'],Vámos.
hallinka,['xalyiŋga'],['s'],amz.
hallkan,"['kalykaŋ', 'alykan']",['s'],amz.
hallma,['xalma'],['s'],aparejo.
halunzu,['xaluŋzu'],['s'],sn.
hamchi,"['xamči', 'xamtsi', 'kaŋtsi', 'anzi']",['s'],afre- cho.
hamlla,"['xamlya', 'xamža']",['adj'],sc.
hampara,['xampara'],['s'],mesa.
hampatu,"['xambatu', 'xaŋbatu']",['s'],s.
hampina,"['xambina', 'xaŋbina', 'ambina', 'aŋ- bina']","['v', 'curar']",Hampita kushpa unkushkaku- nata alliyachiy.
hampiwasi,"['xampiwasi', 'xaŋbiwasi']",['s'],"hos- pital, centro de salud."
