word,variant_forms,abreviaturas,translation_value
inta,"['iŋta', 'iŋda']",['s'],"amz. inflamación por he- ridas, golpes y picaduras. Aychapi puka mu- yukuna llukshishpa ruparik unkuy. Inta nanaymi chuspi kanishkamanta hapirka. inta [iŋta, iŋda] s. amz. tizón, leña con fuego. Tullpamanta surkushka ninayuk yanta. Yana tutapika inta nina kaspiwanllami purin- chik."
inti,"['iŋti', 'iŋdi']",['s'],"sol. Kay pachata achikya- chishpa rupaywan kunukta kuk. Yaya intipa rupayka may mutsuymi kawsay- pakka kan. inti (<*inti) junio. Suktaniki killa. Inti killapika kichwa runakunaka hatun inti raymita ruran. inti anka [inti anka] s. amz. variedad de gavilán. Takik, inti punchakuna hawapi wampurayak pishku. Inti ankaka sara chakra hawapi wampuraya- kun. Sin. usturiw."
intillama,['iŋdi lyama'],['s'],"amz. mono pere- zoso, perico ligero. Uchpa millmayuk, mana utka kuyurik, yura pallkakunapi kawsak kus- hillumi kan. Inti llama wiwaka allimanta yurapi sikakun. intipa ayllu [intipa aylyu] s. sistema solar. Hawa pachapi tiyak rumpukuna. Intipa aylluka pusak rumpuyukmi kan. intipacha [iŋdi pača] s. verano. Rupay kil- lakunami kan. Tamyaka manallatak tiyanchu. Inti pachapimi murukunata pallanchik. Sin. Usyay pacha. inti raymi [inti raymi] s. fiesta del sol. Inti- manta hatun raymi. Kunanpipash inti ray- mita ruranchik."
intina,['intina'],['v'],"solear. Mana tamyay, mana puyu tukuy, kunuk achiklla puncha. Agosto killataka sumaktami intin."
intiyana,['intiyana'],['v'],salir el sol. Inti rikuri- muna. Tutamantataka inti yayaka sumaktami inti- yan.
intuna,['iŋduna'],['v'],"amz. mosquearse. Achka chuspikuna, putankuna, mama kurukuna mishki mikunapi tantarina. Tawka punchata aychata mana wakaychik- pika chuspikuna intun."
intuna,['iŋduna'],['v'],"amz. amontonarse per- sonas o animales. Wiwakuna, runakuna tan- tarina. Rimanakuypika achka runami inturka. 2. s. colaboración. Imapipash yanapana. Minkapika intuykunawan utkalla llamkan- chik. Sin. 1 Waykana; 2 yanapana."
iñil,['iñil'],['s'],"ss. planta silvestre. Mana tarpus- hka muyumanta wiñak yurakuna. Iñilkunaka hampi, mikuna yurakunapashmi kan. Sin. Chas, wala, purun, ushun."
iñina,['iñina'],['v'],"creer, asentir, testimoniar, tener fe. Shukpa yuyaykunata alli kakpi mana alli kakpipash chaskiy. Umu willashkataka tukuykuna iñinllami."
iñu,['iñu'],['s'],"s. cosa diminuta invisible. Pikis- hina yapa uchilla rikurik. Añanku kuruka iñushina may uchillami, mana ñawiwanllaka rikuy ushanachu kan. s. nigua. Shuk uchilla pikishina yawarta chunkak. Kuchikunapa chakikunapi iñu yaykushpaka kaninllami. punto. Shuk takayta rurakpi uchilla hutkus- hina sakirik. Shuk yuyayta killkashpa tukuchishpaka shuk iñuta churanami kan."
irki,['irki'],['adj'],"s. débil; flaco, raquítico. Runa kashpa, wiwa kashpapash mana mikushpa wañunalla tukushka. Yapa tsalamanta tullulla rikurik. Chay irki runaka llakillami tikramushka. Sin. Api, chusu, sampa."
ishkantin,"['iškaŋdiŋ', 'iškaŋdi']",['adv'],"ambos, pareja, par. Ishkaypura. Quito llaktaman ishkantin shamurkanchik. ishkantishun [iškaŋdišun] expresión para brindar. Mashipura imatapash upyakushpa rimay. Pushakkuna shamushkamantami ishkantis- hun. Sin. Upyashun."
ishkay,"['iškay', 'iški']",['num'],dos. Shuk yupayta katik. Paykunaka ishkay wawallatami charin.
ishkuna,"['iškuna', 'iskuna', 'wiškuna']",['v'],des- granar. Karata paskashpa murukunata sur- kuy. Usya pachapika sarata chakichinkapakmi is- hkunchik. Sin. Chiwana.
ishpapuru,['išpapuru'],['s'],vejiga. Yaku-ishpa tantarina puru. Mana ishpapuru yaku-ishpa huntataka cha- rinachu kan.
ishpana,['išpana'],['v'],orinar. Ishpapurupi tan- tarishka yakukunata pakchaman llukshi- china. Yakuta yalli upyashpaka achkatami ishpan- chik. Sin. Yaku-ishpana.
ishpinku,['išpiŋgu'],['s'],"árbol de canela. Mis- hkita ashnak yura, sisapash, karapash ya- kuta mishkiyachikmi kan. Chiripika ishpinkuta timpuchishpa upyas- hpami kunukyanchik."
isi,"['izi', 'igzi']",['exp'],amz. expresión despectiva a los niños (mocosos). Wawata piñashpa rimay. Isi wawakunataka ama tantanakuyman yay- kuchinkichu.
isi,"['izi', 'igzi']",['s'],tu. sarna. Runa aychapi mu- ruklla llukshishpa yapa shikshichik unkuy. Wawakunata isi hapikpika achkatami hayak yurakunawan hampinchik.
isiyana,"['iziyana', 'idziyana']",['v'],sc. empe- rrarse. Wawa yapata wakashpa mamamanta mana karuyana. Kay wawaka mamamanta isiyanka.
iska,"['iska', 'isku']",['s'],"fósforo. Ninata hapichik rumishina. Yanunkapakka iska kaspitami mutsunchik. isku [isku, išku] s. cal, yeso. Yurak allpas- hina wasi pirkakunata tullpukpi yurakta sakik. Kunan pacha wasikunaka iskuwan yurakya- chishkallami kan. Sin. Pukshi."
islampu,"['islambu', 'islaŋbu', 'islabuŋ']",['s'],"amz. bolso tejido de hilo de chambira. Champira kawchushkawan awashka uchilla shik Ayllu llakta warmikunaka sumak champira is- lamputami rurankuna. hnakun. Sin. ismu, wañushka."
